scenario,question,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,149100.0,-0.5850422504906954,-0.5850422504906954,0.0,322.8089717670832,0.13452248156619506,0.13647262764290352,0.9066670677802752,3.1087933898940846e-11,1.5725218422968368e-06,3.896552764486034e-08
nominal_proxy,Q3,149400.0,-0.5835302553726558,-0.5835302553726558,0.0,322.81066195460585,0.13385997056147284,0.13580507659940086,0.9024959517824894,3.072636810814113e-11,1.5560057513575032e-06,3.8747101288778855e-08
nominal_proxy,Q3,149700.0,-0.5820196976395401,-0.5820196976395401,0.0,322.8123385300674,0.1332027490639269,0.13514281985511029,0.8983560278731539,3.037257683384583e-11,1.5397154753404863e-06,3.853062308300017e-08
nominal_proxy,Q3,150000.0,-0.5805106803233805,-0.5805106803233805,0.0,322.81400164235606,0.1325507597000915,0.13448580037996352,0.8942469802350539,3.0023423405553815e-11,1.523638225142676e-06,3.831584289143395e-08
nominal_proxy,Q3,150300.0,-0.5790033021109295,-0.5790033021109295,0.0,322.8156514383068,0.13190394587806867,0.13383396191121233,0.89016849701707,2.968071594948443e-11,1.5078321687900242e-06,3.810429775881147e-08
nominal_proxy,Q3,150600.0,-0.5774976580911523,-0.5774976580911523,0.0,322.8172880627414,0.13126225177344805,0.13318724894121778,0.8861202702764569,2.934319999465963e-11,1.4922397656436104e-06,3.789461543544497e-08
nominal_proxy,Q3,150900.0,-0.575993842121516,-0.575993842121516,0.0,322.81891165850476,0.13062562236133826,0.13254560675797594,0.8821019865954415,2.901211219160453e-11,1.4768697881306636e-06,3.7687087761014386e-08
nominal_proxy,Q3,151200.0,-0.5744917909473662,-0.5744917909473662,0.0,322.8205223664403,0.12999400263373412,0.1319089812220068,0.8781133644948187,3.6412070039711435e-11,1.78553444141194e-06,4.578504662359412e-08
nominal_proxy,Q3,151500.0,-0.5729919379819854,-0.5729919379819854,0.0,322.8221203263803,0.1293673400583757,0.1312773190793082,0.8741540979869215,3.603889948126869e-11,1.768297768101057e-06,4.556270455132211e-08
nominal_proxy,Q3,151800.0,-0.5714941456733381,-0.5714941456733381,0.0,322.82370567440324,0.1287455813916144,0.13065056771480035,0.8702238940961458,3.567043599158468e-11,1.7512824461718424e-06,4.534220196768914e-08
nominal_proxy,Q3,152100.0,-0.5699985080273415,-0.5699985080273415,0.0,322.8252785459008,0.1281286744148999,0.13002867522324188,0.866322463600698,3.530865598098316e-11,1.7344752553105636e-06,4.512326542649546e-08
nominal_proxy,Q3,152400.0,-0.5685051065302431,-0.5685051065302431,0.0,322.8268390743782,0.12751656763485336,0.12941159038285752,0.8624495208378806,3.4950620876741826e-11,1.7178710033372013e-06,4.4905825054732356e-08
nominal_proxy,Q3,152700.0,-0.5670140183778856,-0.5670140183778856,0.0,322.82838739153544,0.12690921024732044,0.1287992626469187,0.8586047836685292,3.459824278385611e-11,1.7015015967292157e-06,4.469078310427148e-08
nominal_proxy,Q3,153000.0,-0.5655253177765382,-0.5655253177765382,0.0,322.8299236273065,0.12630655212302908,0.1281916421333741,0.8547879734261596,3.425045015065705e-11,1.685326972644674e-06,4.447715879387051e-08
nominal_proxy,Q3,153300.0,-0.5640390762565808,-0.5640390762565808,0.0,322.8314479098899,0.12570854379579507,0.1275886796144814,0.8509988148682772,3.390811139066599e-11,1.669349314670221e-06,4.4265071788649056e-08
nominal_proxy,Q3,153600.0,-0.56255536290441,-0.56255536290441,0.0,322.83296036577883,0.1251151364516841,0.12699032650660466,0.8472370361257954,3.357013514788606e-11,1.6535717600740796e-06,4.405466854957346e-08
nominal_proxy,Q3,153900.0,-0.5610742444823847,-0.5610742444823847,0.0,322.83446111978895,0.1245262819186035,0.12639653486018793,0.8435023686551605,3.323582868357399e-11,1.6379929425047735e-06,4.3845976856394216e-08
nominal_proxy,Q3,154200.0,-0.5595957855505539,-0.5595957855505539,0.0,322.8359502950863,0.1239419326560441,0.12580725734990478,0.8397945471896877,3.2907103747625717e-11,1.6226076496872466e-06,4.363892065999987e-08
nominal_proxy,Q3,154500.0,-0.5581200485403656,-0.5581200485403656,0.0,322.837428013213,0.12336204174516217,0.12522244726498585,0.83611330969332,3.258378312789299e-11,1.6074067382687574e-06,4.343331534642001e-08
nominal_proxy,Q3,154800.0,-0.5566470938367547,-0.5566470938367547,0.0,322.8388943941138,0.12278656287894536,0.12464205849971606,0.8324583973130896,3.2264465198152834e-11,1.592394454519308e-06,4.3229335446888204e-08
nominal_proxy,Q3,155100.0,-0.5551766380539076,-0.5551766380539076,0.0,322.84034955616113,0.1222154494559388,0.12406604554410233,0.8288295543348019,3.866076105417797e-11,2.188395150870548e-06,5.968681157231024e-08
nominal_proxy,Q3,155400.0,-0.553709547478618,-0.553709547478618,0.0,322.84179361798203,0.12164865776999105,0.12349436348327038,0.8252265282569088,3.82563515027128e-11,2.166505180256628e-06,5.93650934303218e-08
nominal_proxy,Q3,155700.0,-0.5522453552156816,-0.5522453552156816,0.0,322.84322669241055,0.1210861429577244,0.12292696795811263,0.8216490693360203,3.7858267058784877e-11,2.1449007889806637e-06,5.9046139566097364e-08
nominal_proxy,Q3,156000.0,-0.5507841419570645,-0.5507841419570645,0.0,322.8446488935303,0.12052786097610356,0.1223638151945584,0.8180969310325219,3.746499922069195e-11,2.1235793870033604e-06,5.8729972467372546e-08
nominal_proxy,Q3,156300.0,-0.5493259692569218,-0.5493259692569218,0.0,322.84606033380135,0.11997376840351717,0.12180486197618347,0.814569869751736,3.707945309683532e-11,2.102542966730958e-06,5.841674100123039e-08
nominal_proxy,Q3,156600.0,-0.5478708908730033,-0.5478708908730033,0.0,322.84746112417537,0.11942382239203557,0.12125006563755997,0.8110676448145127,3.6586453253036056e-11,2.0827843160153847e-06,5.813425033346575e-08
nominal_proxy,Q3,156900.0,-0.5464189594598767,-0.5464189594598767,0.0,322.84885137414955,0.11887798065042413,0.12069938405621912,0.8075900184206269,3.62109737769573e-11,2.0622786214286037e-06,5.7826201570863856e-08
nominal_proxy,Q3,157200.0,-0.5449702219435587,-0.5449702219435587,0.0,322.8502311917856,0.11833620143116923,0.12015277564444538,0.8041367556056617,3.5840367822857865e-11,2.042039285776731e-06,5.7520839243897606e-08
nominal_proxy,Q3,157500.0,-0.5435247241304069,-0.5435247241304069,0.0,322.85160068375336,0.1177984435206146,0.11961019934125941,0.8007076242042458,3.547665829169556e-11,2.022063037454558e-06,5.721815945444981e-08
nominal_proxy,Q3,157800.0,-0.5420825098813316,-0.5420825098813316,0.0,322.85295995534926,0.11726466623036726,0.11907161460445154,0.7973023948093074,3.511654454470433e-11,2.002343952423047e-06,5.6918081600966604e-08
nominal_proxy,Q3,158100.0,-0.5406436212412662,-0.5406436212412662,0.0,322.8543091105193,0.11673482938906526,0.11853698140277126,0.7939208407335407,3.476297680506527e-11,1.9828705326574436e-06,5.6620363235058684e-08
nominal_proxy,Q3,158400.0,-0.5392080985725313,-0.5392080985725313,0.0,322.8556482518813,0.11620889333411012,0.11800626020824798,0.7905627379724482,3.441323147817894e-11,1.9636688249891066e-06,5.6325833266001916e-08
nominal_proxy,Q3,158700.0,-0.5377759806901259,-0.5377759806901259,0.0,322.8569774807462,0.11568681890401857,0.11747941198864624,0.7872278651644873,3.406985906605432e-11,1.9446981766035876e-06,5.603341259407832e-08
nominal_proxy,Q3,159000.0,-0.5363473048830213,-0.5363473048830213,0.0,322.85829689713813,0.11516856743053133,0.11695639820004707,0.7839160035568427,3.372982232215267e-11,1.925971698679696e-06,5.57435575131043e-08
nominal_proxy,Q3,159300.0,-0.5349221070199628,-0.5349221070199628,0.0,322.859606599815,0.11465410073125795,0.11643718077956151,0.7806269369666237,3.3394707710612243e-11,1.907471105733194e-06,5.545581866290118e-08
nominal_proxy,Q3,159600.0,-0.5335004215669195,-0.5335004215669195,0.0,322.86090668628714,0.11414338110220618,0.11592172213816544,0.7773604517472779,3.3064319299081774e-11,1.889220860418206e-06,5.517098588854549e-08
nominal_proxy,Q3,159900.0,-0.5320822817047768,-0.5320822817047768,0.0,322.8621972528374,0.1136363713107035,0.11540998515366,0.7741163367518987,3.2738235460744174e-11,1.8711821700989617e-06,5.4888006616085765e-08
nominal_proxy,Q3,160200.0,-0.5306677192610709,-0.5306677192610709,0.0,322.86347839453896,0.11313303458823272,0.11490193316375051,0.770894383298936,3.241793805603704e-11,1.8533942663934155e-06,5.460810726472496e-08
nominal_proxy,Q3,160500.0,-0.5292567648845593,-0.5292567648845593,0.0,322.86475020527354,0.11263333462360964,0.11439752995924554,0.7676943851381934,3.2101235543259824e-11,1.8358062119361307e-06,5.4329866555370494e-08
nominal_proxy,Q3,160800.0,-0.5278492038807854,-0.5278492038807854,0.0,322.86601277775003,0.11213723497968,0.11389673977737029,0.7645161384174214,3.8940742513719665e-11,2.235426299845855e-06,6.644912370843128e-08
