scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q4,M,15525.0,14.089011498384004,8.022271516603393,6.066739981780611,286.9249283151871,10.443442424608104,10.336478780973865,-1.6930309030189181,3.283910273447242e-11,-1.7559645772990962e-06,2.2418719880607944e-09
nominal_proxy,Q4,M,15600.0,13.968104023675759,7.981551536168773,5.9865524875069855,286.9503053452211,10.426715358986856,10.32029464831754,-1.684932878788563,3.289708941672188e-11,-1.7640298786147923e-06,2.255782149194106e-09
nominal_proxy,Q4,M,15675.0,13.848419386539772,7.9468550458459735,5.901564340693799,286.97560677475025,10.41009137249083,10.304133281492458,-1.6769040119687317,3.3070564201860566e-11,-1.7790319724042547e-06,2.2785992408679303e-09
nominal_proxy,Q4,M,15750.0,13.730293370053161,7.918477979101137,5.811815390952024,287.0008557467485,10.393569159717883,10.287989429324398,-1.6689422867584278,3.336128663768172e-11,-1.8004102297908275e-06,2.3096464132438563e-09
nominal_proxy,Q4,M,15825.0,13.614027154910527,7.896682548002004,5.717344606908523,287.0260767284466,10.377147261306769,10.271858136303045,-1.6610456137245337,3.3766947116195365e-11,-1.8272772797089942e-06,2.347822233730017e-09
nominal_proxy,Q4,M,15900.0,13.499890946438752,7.881700727866949,5.618190218571803,287.05129538320233,10.36082408521905,10.255734717401351,-1.6532118434490217,3.4281208256053845e-11,-1.858460505488324e-06,2.391650818766613e-09
nominal_proxy,Q4,M,15975.0,13.38812711061454,7.87373725407049,5.5143898565440495,287.07653845443764,10.344597924458842,10.239614735835882,-1.645438777633045,3.4892483832949364e-11,-1.8926514897543711e-06,2.439471633504314e-09
nominal_proxy,Q4,M,16050.0,13.278952932784518,7.872972244275876,5.4059806885086426,287.10183365983363,10.3284669721133,10.223493983142653,-1.6377241783145209,3.558514871963874e-11,-1.928522698868562e-06,2.489588828074929e-09
nominal_proxy,Q4,M,16125.0,13.172563079204803,7.8795635261541115,5.2929995530506915,287.1272095944086,10.312429334297244,10.207368461083554,-1.6300657756277666,3.633931128950466e-11,-1.9648726183874032e-06,2.5404587735081952e-09
nominal_proxy,Q4,M,16200.0,13.069131814679292,7.893648723677095,5.175483091002198,287.1526956414091,10.29648304141479,10.191234365088622,-1.6224612744055382,3.7134743714518345e-11,-2.000785503497582e-06,2.590898264905883e-09
nominal_proxy,Q4,M,16275.0,12.96158594707169,7.917192627303544,5.044393319768146,287.17832189010386,10.28063264272759,10.175070047196959,-1.6149106691910105,3.800131044607623e-11,-2.0374937115263947e-06,2.6425010759984002e-09
nominal_proxy,Q4,M,16350.0,12.859503105428331,7.9495880740982034,4.909915031330128,287.2041265623341,10.264873217242569,10.158878681944664,-1.6074104110018492,3.8872746678038416e-11,-2.0732446408544547e-06,2.6929959379941708e-09
nominal_proxy,Q4,M,16425.0,12.773808207630461,7.987700743976168,4.786107463654293,287.2301455721282,10.249190602690403,10.142687898027473,-1.5999536165806552,3.969742307284014e-11,-2.105743556413131e-06,2.739394927908259e-09
nominal_proxy,Q4,M,16500.0,12.702112223992092,8.029250197452566,4.6728620265395255,287.25640220167065,10.233574377126585,10.126517679359921,-1.5925352072439007,4.0405032983527365e-11,-2.13504723678426e-06,2.7817549803600424e-09
nominal_proxy,Q4,M,16575.0,12.642387609513648,8.072312780360443,4.570074829153204,287.2829105235764,10.2180164377659,10.110385571876371,-1.585151591045707,4.102544899414693e-11,-2.1613542537934904e-06,2.8203181011467828e-09
nominal_proxy,Q4,M,16650.0,12.59285986089917,8.115214238054692,4.477645622844477,287.30967680236654,10.202510333817088,10.094307448177844,-1.5778002597240983,4.1565702607115866e-11,-2.1848886131436984e-06,2.8553608104359697e-09
nominal_proxy,Q4,M,16725.0,12.55195220407174,8.156475175599757,4.3954770284719835,287.3367004677665,10.187050882886972,10.078297851136035,-1.5704795336034036,4.2033309633493067e-11,-2.2057204578374012e-06,2.886959773009803e-09
nominal_proxy,Q4,M,16800.0,12.51825135099961,8.194777405840927,4.323473945158681,287.363974873271,10.171633922534825,10.062370194139879,-1.5631883898883125,4.243386031463806e-11,-2.223780056986868e-06,2.9150086392841666e-09
nominal_proxy,Q4,M,16875.0,12.490483733430196,8.228940640269492,4.261543093160704,287.39148792358617,10.156256136748066,10.046536898358577,-1.555926341244398,4.277192740145442e-11,-2.2389422280610916e-06,2.9393275079780582e-09
nominal_proxy,Q4,M,16950.0,12.467497746362698,8.257905083016716,4.2095926633459815,287.4192226119205,10.140914927916345,10.030809496795724,-1.5486933462273684,4.3049793884005245e-11,-2.2510298496314363e-06,2.959667006553429e-09
nominal_proxy,Q4,M,17025.0,12.448249765910727,8.280717711278553,4.167532054632174,287.44715749022674,10.125608318187055,10.015198718571991,-1.541489740721333,4.326832280422223e-11,-2.259851248354039e-06,2.9757570144139977e-09
nominal_proxy,Q4,M,17100.0,12.43179269719904,8.29652101130582,4.135271685893218,287.4752670866306,10.110334870715457,9.99971456036139,-1.5343161837584454,4.3427399472848184e-11,-2.2652491908914385e-06,2.98737113373989e-09
nominal_proxy,Q4,M,17175.0,12.41726631148498,8.304543439896207,4.112722871588773,287.503522279384,10.095093624946067,9.984366348852976,-1.5271736135198475,4.3525892331830305e-11,-2.2670855743811558e-06,2.9943068168995712e-09
nominal_proxy,Q4,M,17250.0,12.403888909297835,8.304091156644573,4.099797752653263,287.5318906338008,10.079884042175129,9.969162796549874,-1.520063210800229,4.3561056593105287e-11,-2.2652495594854827e-06,2.9963963209728437e-09
nominal_proxy,Q4,M,17325.0,12.39095001017003,8.29454073480732,4.096409275362709,287.56033670685383,10.064705958918946,9.954112052325886,-1.5129863681203022,4.3529205979277495e-11,-2.2596721711565237e-06,2.993526329041723e-09
nominal_proxy,Q4,M,17400.0,12.377803867638702,8.275332655456957,4.1024712121817455,287.5888223229844,10.04955954641397,9.939221747670354,-1.5059446632513984,4.342550992514761e-11,-2.2503142798058207e-06,2.985622430399696e-09
nominal_proxy,Q4,M,17475.0,12.363863670778123,8.245965451497538,4.117898219280585,287.6173068239321,10.034445275076957,9.924499039228373,-1.498939836281984,4.324302737446755e-11,-2.2371462691239685e-06,2.972622412495458e-09
nominal_proxy,Q4,M,17550.0,12.34859633262884,8.205990406453665,4.142605926175175,287.64574729489794,10.019363883080345,9.90995064805905,-1.491973769592931,4.297221070683061e-11,-2.220143448639078e-06,2.95447026317805e-09
nominal_proxy,Q4,M,17625.0,12.331517790792555,8.155006737286467,4.176511053506088,287.6740987690023,10.004316348416353,9.895582895929845,-1.4850484702724471,4.259990596681887e-11,-2.19920161725895e-06,2.9310036996941833e-09
nominal_proxy,Q4,M,17700.0,12.312188763202876,8.092657207796412,4.219531555406463,287.70231441175076,9.989303863961599,9.881401738869751,-1.4781660545992312,4.210716523736151e-11,-2.1740921321011797e-06,2.9018934141408987e-09
nominal_proxy,Q4,M,17775.0,12.290210912176107,8.018624128762504,4.271586783413603,287.73034568703196,9.974327815158881,9.86741279818525,-1.4713287343068082,4.1466139930907356e-11,-2.1442599074106283e-06,2.8663718125804316e-09
nominal_proxy,Q4,M,17850.0,12.265223378830612,7.932625709647377,4.332597669183236,287.7581425060197,9.9593897599959,9.853621389087106,-1.4645388043850829,4.063498460231409e-11,-2.1085122225983355e-06,2.82281314204965e-09
nominal_proxy,Q4,M,17925.0,12.236899654540869,7.834412730968647,4.402486923572222,287.7856533602349,9.944491411015235,9.840032547076804,-1.4577986322177756,3.954931404699046e-11,-2.064413691549305e-06,2.7679158993324504e-09
nominal_proxy,Q4,M,18000.0,12.204944761103448,7.723765511058099,4.481179250045348,287.8128254399155,9.929634619127045,9.826651052217612,-1.45111064788491,3.8096943297281496e-11,-2.0071493915807537e-06,2.695163811586064e-09
nominal_proxy,Q4,M,18075.0,12.16539739966365,7.601498256367248,4.563899143296403,287.8396047387202,9.914824912527102,9.81347157672417,-1.4444785264667763,3.619464656182721e-11,-1.9288526313943066e-06,2.593897049333005e-09
nominal_proxy,Q4,M,18150.0,12.109711955527269,7.470660227173699,4.63905172835357,287.865940421583,9.90007551796085,9.800466690654272,-1.4379084203807508,3.3779934571905676e-11,-1.8208197047897556e-06,2.4522637246371166e-09
nominal_proxy,Q4,M,18225.0,12.039406719185136,7.3337714650118375,4.705635254173298,287.8917943381925,9.885396969687973,9.787613327861594,-1.4314051320337304,3.085639589007771e-11,-1.6719665456577104e-06,2.2551332378248237e-09
nominal_proxy,Q4,M,18300.0,11.956700092633444,7.192949820640432,4.763750271993012,287.91713883716176,9.870797285456831,9.774891265361775,-1.4249719805061298,2.6303406562555493e-11,-1.6864887433243325e-06,2.278085136120498e-09
nominal_proxy,Q4,M,18375.0,11.86353850338064,7.050045038904381,4.8134934644762595,287.94195512134985,9.856282683269235,9.762282064555782,-1.4186111596409376,2.1994173919321846e-11,-1.3646046106430276e-06,1.8460030750530398e-09
nominal_proxy,Q4,M,18450.0,11.761652505106555,6.906694908287644,4.854957596818911,287.9662321680502,9.84185799308057,9.749768714271505,-1.4123239874511049,1.9214802279725203e-11,-1.002392183480083e-06,1.3579985732840639e-09
nominal_proxy,Q4,M,18525.0,11.65259315917558,6.7643616711900165,4.888231487985564,287.9899658825961,9.827526921685054,9.737335424254626,-1.406111077642697,1.930953294694593e-11,-6.360921069870074e-07,8.630073629659295e-10
nominal_proxy,Q4,M,18600.0,11.53775626381616,6.624356249790935,4.913400014025226,288.01315840212106,9.813292240435585,9.72496748638925,-1.3999724627725245,2.1940048412220278e-11,-3.036841738079943e-07,4.1261609439852926e-10
nominal_proxy,Q4,M,18675.0,11.418400835443244,6.487856686406063,4.930544149037181,288.03581749793454,9.799155925243781,9.71265116903181,-1.3939076870556597,2.5579874691807547e-11,-2.9491759256927708e-08,4.012829877990268e-11
nominal_proxy,Q4,M,18750.0,11.295663628762107,6.355922586442371,4.939741042319735,288.0579560521739,9.785119266313643,9.700373631666935,-1.3879158789244799,2.9347029866378645e-11,-1.206075594950562e-08,1.6434146069159124e-11
nominal_proxy,Q4,M,18825.0,11.170571923263473,6.229507794006312,4.941064129257162,288.0795915918963,9.771182954941752,9.688122852378532,-1.381995809693473,3.1509190444999046e-11,1.0176482412305177e-07,1.3886387430239032e-10
nominal_proxy,Q4,M,18900.0,11.044052945038185,6.1094696736851395,4.934583271353047,288.1007458733326,9.757347159054047,9.675887565811427,-1.3761459419006772,3.3270307364832786e-11,1.804886320400101e-07,2.4663620701798495e-10
nominal_proxy,Q4,M,18975.0,10.916943598096244,5.99657867362245,4.920364924473795,288.12144450181864,9.743611584850518,9.663657205661968,-1.3703644707177618,3.462189991138634e-11,2.344812184418288e-07,3.208683165030962e-10
nominal_proxy,Q4,M,19050.0,10.789998377925764,5.891526048692015,4.8984723292337495,288.14171658890126,9.729975531085794,9.6514218540563,-1.3646493592748634,3.564684855810338e-11,2.714800224623559e-07,3.720187806502609e-10
nominal_proxy,Q4,M,19125.0,10.663896645454127,5.7949309239267315,4.868965721527395,288.16159443881895,9.71643793651192,9.639172194818725,-1.3589983695473051,3.6409659136815793e-11,2.969371397654186e-07,4.074705040477214e-10
nominal_proxy,Q4,M,19200.0,10.539249239704766,5.707346679716439,4.831902559988326,288.18111326168224,9.702997421795875,9.626899470258634,-1.3534090894767632,3.696164610488981e-11,3.1442337533604814e-07,4.320635664325856e-10
nominal_proxy,Q4,M,19275.0,10.41660451633392,5.629266748770124,4.787337767563795,288.2003109105813,9.689652326783454,9.614595441148422,-1.347878956946595,3.734036198273304e-11,3.2614272527098365e-07,4.487849020402695e-10
nominal_proxy,Q4,M,19350.0,10.296453888027242,5.5611299032525405,4.735323984774702,288.21922764022474,9.676400743762656,9.602252349497519,-1.3424052810550386,3.756947788145705e-11,3.333672591310233e-07,4.593543514905369e-10
nominal_proxy,Q4,M,19425.0,10.17923692285768,5.50332509040607,4.675911832451609,288.23790588504676,9.663240547228048,9.58986288384513,-1.3369852610271415,3.7661380136311265e-11,3.36687273616576e-07,4.6456089199898414e-10
nominal_proxy,Q4,M,19500.0,10.065346045454298,5.45619586344807,4.609150182006229,288.25639005496413,9.650169420546845,9.577420146850212,-1.3316160030413968,3.76169183656026e-11,3.3620057049432717e-07,4.6451767610559487e-10
nominal_proxy,Q4,M,19575.0,9.955130877200027,5.420044445677043,4.535086431522984,288.2747263471596,9.637184879861245,9.5649176250055,-1.3262945351985225,3.742706255559795e-11,3.314961318778842e-07,4.586348067551127e-10
nominal_proxy,Q4,M,19650.0,9.848902247956286,5.395135461763134,4.453766786193152,288.29296257242765,9.624284295501965,9.552349160299439,-1.3210178208196437,3.7069220174697233e-11,3.21573655703844e-07,4.455031263698027e-10
nominal_proxy,Q4,M,19725.0,9.746935906317626,5.381699364544424,4.365236541773202,288.31114799475546,9.611464911154401,9.539708923688513,-1.3157827702367706,3.6505207138964596e-11,3.046028105302412e-07,4.2255481808569434e-10
nominal_proxy,Q4,M,19800.0,9.649475952227824,5.379935582265397,4.269540369962428,288.32933318293277,9.598723860990164,9.526991390259015,-1.3105862512195738,3.5676147746071184e-11,2.774292156004776e-07,3.853695826212454e-10
nominal_proxy,Q4,M,19875.0,9.588164332507937,5.380852058967075,4.207312273540863,288.3475698733414,9.58602636457158,9.51428167378507,-1.3054148083572688,3.4940501687182655e-11,2.499788553933513e-07,3.4769896080852735e-10
nominal_proxy,Q4,M,19950.0,9.559233211137975,5.377031434530434,4.18220177660754,288.36586983915385,9.57334523745735,9.501651488122114,-1.3002582948635644,3.4571915627865315e-11,2.3438777851936266e-07,3.264449680588563e-10
nominal_proxy,Q4,M,20025.0,9.526500114534025,5.371014204461371,4.155485910072654,288.3842117030729,9.560691191162496,9.489077671425738,-1.2951205463943862,3.431575288394695e-11,2.242045376021906e-07,3.126754933219834e-10
nominal_proxy,Q4,M,20100.0,9.490972360275299,5.363789989368467,4.127182370906832,288.40258543755726,9.548070112192269,9.476552915218878,-1.2900045477846191,3.410374042919836e-11,2.163641763530677e-07,3.021401865308671e-10
nominal_proxy,Q4,M,20175.0,9.453310847099036,5.35600355821931,4.097307288879726,288.42098542208936,9.535485647531939,9.464072269546554,-1.2849121726587662,3.390278770637114e-11,2.0931543964763932e-07,2.926827884595002e-10
nominal_proxy,Q4,M,20250.0,9.41400539925516,5.348129656405317,4.065875742849842,288.43940891463876,9.522940192089026,9.451631799365193,-1.279844595978976,3.3693398424607194e-11,2.0211789752977438e-07,2.8299088790200796e-10
nominal_proxy,Q4,M,20325.0,9.373444849686118,5.340542831542669,4.032902018143449,288.45785530256904,9.510435359813954,9.439228124648437,-1.2748025308205273,3.3462467816708424e-11,1.9412892093839673e-07,2.721626838923798e-10
nominal_proxy,Q4,M,20400.0,9.331951550859266,5.333551789524963,3.998399761334303,288.4763256637949,9.497972241451036,9.426858220055356,-1.2697863710121116,3.3199434643367595e-11,1.8484899477755334e-07,2.594925738932438e-10
nominal_proxy,Q4,M,20475.0,9.289800655160965,5.327418570053229,3.9623820851077363,288.4948224800514,9.485551557487497,9.414519312204678,-1.2647962803990251,3.2896698173348704e-11,1.7384182582347307e-07,2.4436017209246994e-10
