scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
high_proxy,高档等效潜热近似,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,17.019106199993985,0.1785517659692671,0.1343106226717032,,,62.99586735945837,4.998733856133346e-11,1.1682352812846129e-09,1494566.7882183199,89.60119910781881,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,1.4571440028979948e-14,1.8666916480795585e-05,864,0.011900875113064766,206.65716047337264
same_product_scale_double,同乘积 scale 加倍,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.5039986000047065,2.5224974772747255,1.7608511939946223,,,34.12737995178247,4.9948310565658356e-11,2.253996304492604e-09,190485.80523792852,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,4.507418743804337e-14,3.934966216867355e-05,90,0.0004892659971086201,2.2182565918446926
same_product_scale_double,同乘积 scale 加倍,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,12.774597999989055,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,4.999575034538098e-11,1.0071684120984339e-09,590331.5014456161,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,2.28699539503701e-14,3.701526886409664e-05,803,0.0022665870426927578,20.55279093522404
same_product_scale_double,同乘积 scale 加倍,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,14.648889499992947,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,4.999830162298385e-11,5.636763174680772e-10,750376.2536302977,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,1.5600518991324037e-14,3.733383296159117e-05,822,0.0059300923179213,51.01138289206574
same_product_Lv_double,同乘积 Lv 加倍,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.538887300004717,2.5224974772747255,1.7608511939946223,,,34.12737995178247,4.9948310565658356e-11,2.253996304492604e-09,190485.80523792852,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,4.507418743804337e-14,9.837415542168387e-06,90,0.0004892659971086201,2.2182565918446926
same_product_Lv_double,同乘积 Lv 加倍,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,12.749047300007078,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,4.999575034538098e-11,1.0071684120984339e-09,590331.5014456161,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,2.28699539503701e-14,9.25381721602416e-06,803,0.0022665870426927578,20.55279093522404
same_product_Lv_double,同乘积 Lv 加倍,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,14.64240910000808,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,4.999830162298385e-11,5.636763174680772e-10,750376.2536302977,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,1.5600518991324037e-14,9.333458240397793e-06,822,0.0059300923179213,51.01138289206574
component_bound_low,液态-气态-结合水 低档 toy,Q2,M,M,component,12,12,120.0,10800.0,PASS,1.5180274000013014,2.5224974772747255,1.7608511939946223,,,34.12737995178247,4.9948310565658356e-11,2.253996304492604e-09,190485.80523792852,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.507418743804337e-14,1.9674831084336775e-05,90,0.0004892659971086201,2.2182565918446926
component_bound_low,液态-气态-结合水 低档 toy,Q3,M,M,component,12,12,300.0,259200.0,PASS,12.810715300001903,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,4.999575034538098e-11,1.0071684120984339e-09,590331.5014456161,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.28699539503701e-14,1.850763443204832e-05,803,0.0022665870426927578,20.55279093522404
component_bound_low,液态-气态-结合水 低档 toy,Q4,M,M,component,12,12,300.0,259200.0,PASS,14.92255029999069,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,4.999830162298385e-11,5.636763174680772e-10,750376.2536302977,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.5600518991324037e-14,1.8666916480795585e-05,822,0.0059300923179213,51.01138289206574
component_bound_nominal,液态-气态-结合水 名义 toy,Q2,M,M,component,12,12,120.0,10800.0,PASS,1.5122097999992548,2.5151618450630697,1.742929257050252,,,31.85976920287925,4.998052906268983e-11,2.2927118965250525e-09,183803.15058015162,42.57568226715849,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,4.723363186849832e-14,1.7739867611316037e-05,90,0.0003987952416756801,1.6284888314376076
component_bound_nominal,液态-气态-结合水 名义 toy,Q3,M,M,component,12,12,300.0,259200.0,PASS,12.86691250000149,0.1499311427195162,0.12270687185383405,240360.0,240354.07464784576,50.716116756564816,4.9994902818054574e-11,9.245605387189988e-10,577831.7132212019,40.15776395933578,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.0096375057771995e-14,1.673240164972324e-05,802,0.001876605792828409,15.343943465477423
component_bound_nominal,液态-气态-结合水 名义 toy,Q4,M,M,component,12,12,300.0,259200.0,PASS,14.680905700006406,0.1499479966905889,0.1165187683237173,245940.0,245897.0152379749,46.041437338900096,4.999971853064182e-11,4.4675763936905734e-10,739721.9446093955,40.50337327748158,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.7015192762246702e-14,1.687640553228399e-05,820,0.005189289748504049,40.263399875239884
