scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,convective_input_J,evaporation_latent_heat_loss_J,geometry_correction_J,expected_sensible_change_J,fixed_geometry_error_J,moving_geometry_error_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q3,M,140475.0,0.10435232582753393,0.10435232582753393,0.0,11.837500928616295,11.733149111443257,0.0,0.10435181717303799,5.08654495939842e-07,5.08654495939842e-07,322.74649589541735,0.15783334571488394,0.15644198815257676,3.4410061803645835e-11,5.08654495939842e-07,4.296975341393274e-08
nominal_proxy,Q3,M,140550.0,0.10411757689727888,0.10411757689727888,0.0,11.821576684859536,11.717459615500431,0.0,0.10411706935910559,5.075381732944084e-07,5.075381732944084e-07,322.74704090382545,0.15762102246479381,0.15623279487333908,3.4330353177731487e-11,5.075381732944084e-07,4.29332048359029e-08
nominal_proxy,Q3,M,140625.0,0.10388354121596856,0.10388354121596856,0.0,11.80568707856975,11.701804043778655,0.0,0.10388303479109595,5.064248726066589e-07,5.064248726066589e-07,322.7475847195716,0.15740916104759667,0.15602405391704874,3.425027585365681e-11,5.064248726066589e-07,4.28966877773633e-08
nominal_proxy,Q3,M,140700.0,0.10365021607787289,0.10365021607787289,0.0,11.789832007599856,11.686182296836249,0.0,0.10364971076360696,5.053142659305898e-07,5.053142659305898e-07,322.74812734619263,0.1571977601013314,0.15581576395781666,3.417094116424505e-11,5.053142659305898e-07,4.286017524294313e-08
nominal_proxy,Q3,M,140775.0,0.10341759879448095,0.10341759879448095,0.0,11.774011370182432,11.670594275595068,0.0,0.10341709458736403,5.042071169192308e-07,5.042071169192308e-07,322.7486687872125,0.1569868182690991,0.1556079236746009,3.409176860715717e-11,5.042071169192308e-07,4.2823732801560765e-08
nominal_proxy,Q3,M,140850.0,0.10318568668586145,0.10318568668586145,0.0,11.758225064921692,11.655039881338917,0.0,0.10318518358277551,5.031030859414809e-07,5.031030859414809e-07,322.749209046142,0.1567763341989559,0.15540053175118557,3.4012577315754694e-11,5.031030859414809e-07,4.2787332540724034e-08
nominal_proxy,Q3,M,140925.0,0.10295447708678998,0.10295447708678998,0.0,11.742472990797754,11.639519015711928,0.0,0.1029539750858266,5.020009633815992e-07,5.020009633815992e-07,322.7497481264792,0.15656630654397005,0.15519358687615903,3.3934132910229656e-11,5.020009633815992e-07,4.2750872305604044e-08
nominal_proxy,Q3,M,141000.0,0.10272396734761152,0.10272396734761152,0.0,11.726755047161042,11.624031580717055,0.0,0.10272346644398667,5.009036248559973e-07,5.009036248559973e-07,322.7502860317085,0.15635673396214722,0.15498708774289408,3.385561063064026e-11,5.009036248559973e-07,4.2714597758845677e-08
nominal_proxy,Q3,M,141075.0,0.1024941548248791,0.1024941548248791,0.0,11.711071133729378,11.608577478714492,0.0,0.10249365501488583,4.998099932679301e-07,4.998099932679301e-07,322.7508227653023,0.15614761511639172,0.15478103304952656,3.3776949308083175e-11,4.998099932679301e-07,4.2678418358198985e-08
nominal_proxy,Q3,M,141150.0,0.10226503688699788,0.10226503688699788,0.0,11.695421150587713,11.593156612420156,0.0,0.10226453816755665,4.987194412303664e-07,4.987194412303664e-07,322.7513583307197,0.15593894867450284,0.1545754214989354,3.369898725408568e-11,4.987194412303664e-07,4.264228152273978e-08
nominal_proxy,Q3,M,141225.0,0.10203661092033506,0.10203661092033506,0.0,11.67980499819285,11.577768884904145,0.0,0.10203611328870466,4.976316304028394e-07,4.976316304028394e-07,322.75189273140717,0.155730733309238,0.15437025179872194,3.362093013374914e-11,4.976316304028394e-07,4.2606159133635805e-08
nominal_proxy,Q3,M,141300.0,0.10180887432221333,0.10180887432221333,0.0,11.664222577360906,11.56241419958914,0.0,0.10180837777176599,4.965504473430915e-07,4.965504473430915e-07,322.7524259707985,0.15552296769814541,0.15416552266118855,3.354441557342546e-11,4.965504473430915e-07,4.2570385128525104e-08
nominal_proxy,Q3,M,141375.0,0.10158182449268427,0.10158182449268427,0.0,11.648673789273346,11.547092460249011,0.0,0.10158132902433437,4.954683499036605e-07,4.954683499036605e-07,322.7529580523148,0.1553156505236446,0.15396123280332016,3.346687219970026e-11,4.954683499036605e-07,4.253431410877961e-08
nominal_proxy,Q3,M,141450.0,0.10135545885509167,0.10135545885509167,0.0,11.6331585354731,11.531803571007146,0.0,0.10135496446595482,4.943891368514031e-07,4.943891368514031e-07,322.75348897936465,0.15510878047297466,0.15375738094676195,3.338941629794183e-11,4.943891368514031e-07,4.249827210244385e-08
nominal_proxy,Q3,M,141525.0,0.10112977484108698,0.10112977484108698,0.0,11.617676717860535,11.516547436335097,0.0,0.10112928152543788,4.933156491082613e-07,4.933156491082613e-07,322.7540187553441,0.15490235623814047,0.15355396581780129,3.3312784774972336e-11,4.933156491082613e-07,4.246250443084358e-08
nominal_proxy,Q3,M,141600.0,0.10090476989076408,0.10090476989076408,0.0,11.602228238696275,11.501323961050995,0.0,0.10090427764528087,4.922454832079204e-07,4.922454832079204e-07,322.75454738363663,0.15469637651595033,0.1533509861473466,3.323570182208429e-11,4.922454832079204e-07,4.24268057032494e-08
nominal_proxy,Q3,M,141675.0,0.10068043197953631,0.10068043197953631,0.0,11.58681300382209,11.48613305031806,0.0,0.1006799535040308,4.784755055081691e-07,4.784755055081691e-07,322.75507486761353,0.1544908400509612,0.15314844067090747,3.395162698254043e-11,4.784755055081691e-07,4.129483278536872e-08
nominal_proxy,Q3,M,141750.0,0.10045677859933168,0.10045677859933168,0.0,11.571430910776913,11.470974609615316,0.0,0.10045630116159643,4.774377352495529e-07,4.774377352495529e-07,322.75560121058373,0.1542857454770255,0.15294632812820422,3.387334779025224e-11,4.774377352495529e-07,4.126004285303186e-08
nominal_proxy,Q3,M,141825.0,0.10023379642594758,0.10023379642594758,0.0,11.556081864861628,11.455848544836728,0.0,0.10023332002490015,4.7640104743063016e-07,4.7640104743063016e-07,322.7561264159492,0.15408109153148838,0.15274464726448972,3.379600156631222e-11,4.7640104743063016e-07,4.122513608000773e-08
nominal_proxy,Q3,M,141900.0,0.10001148307341867,0.10001148307341867,0.0,11.540765769857877,11.440754762155526,0.0,0.10001100770235105,4.7537106762085557e-07,4.7537106762085557e-07,322.7566504870428,0.15387687693143837,0.15254339682874035,3.371910930510061e-11,4.7537106762085557e-07,4.119060009539642e-08
nominal_proxy,Q3,M,141975.0,0.09978983608004806,0.09978983608004806,0.0,11.525482529847144,11.42569316810058,0.0,0.09978936174656461,4.743334834494961e-07,4.743334834494961e-07,322.75717342718553,0.15367310039796192,0.1523425755746744,3.364205837618682e-11,4.743334834494961e-07,4.115519521383431e-08
nominal_proxy,Q3,M,142050.0,0.09956885295039376,0.09956885295039376,0.0,11.510232049226337,11.410663669580545,0.0,0.0995683796457918,4.73304601969482e-07,4.73304601969482e-07,322.7576952396873,0.15346976065635115,0.15214218226107393,3.3564924304456953e-11,4.73304601969482e-07,4.1120335362943034e-08
nominal_proxy,Q3,M,142125.0,0.09934853126557303,0.09934853126557303,0.0,11.49501423272962,11.395666173744772,0.0,0.09934805898484811,4.722807249168959e-07,4.722807249168959e-07,322.75821592784513,0.15326685643639493,0.1519422156499303,3.348835884143273e-11,4.722807249168959e-07,4.108570162289808e-08
nominal_proxy,Q3,M,142200.0,0.09912886856319478,0.09912886856319478,0.0,11.479828985431878,11.380700588131939,0.0,0.09912839729993905,4.712632557246632e-07,4.712632557246632e-07,322.7587354949447,0.15306438647242504,0.15174267450842585,3.3412264883421933e-11,4.712632557246632e-07,4.105141778006495e-08
nominal_proxy,Q3,M,142275.0,0.0989098623854521,0.0989098623854521,0.0,11.46467621275315,11.365766820613995,0.0,0.09890939213915395,4.7024629815095587e-07,4.7024629815095587e-07,322.7592539442597,0.15286234950337532,0.1515435576081866,3.333589341251519e-11,4.7024629815095587e-07,4.101697155894035e-08
nominal_proxy,Q3,M,142350.0,0.09869151028933669,0.09869151028933669,0.0,11.449555820451922,11.35086477939482,0.0,0.09869104105710136,4.6923223533112957e-07,4.6923223533112957e-07,322.7597712790516,0.1526607442726923,0.15134486372526426,3.3260533353042864e-11,4.6923223533112957e-07,4.0982571087426574e-08
nominal_proxy,Q3,M,142425.0,0.09847380984425062,0.09847380984425062,0.0,11.434467714628727,11.335994373008871,0.0,0.09847334161985621,4.682243944093001e-07,4.682243944093001e-07,322.76028750257046,0.15245956952838302,0.1511465916401183,3.318553194589926e-11,4.682243944093001e-07,4.0948508150517186e-08
nominal_proxy,Q3,M,142500.0,0.09825675862298441,0.09825675862298441,0.0,11.41941180172611,11.321155510319688,0.0,0.09825629140642178,4.6721656263293276e-07,4.6721656263293276e-07,322.7608026180543,0.1522588240230148,0.15094874013759585,3.3110266099766074e-11,4.6721656263293276e-07,4.091424065837702e-08
nominal_proxy,Q3,M,142575.0,0.09804035421399708,0.09804035421399708,0.0,11.404387988523226,11.306348100518528,0.0,0.09803988800469732,4.6620929976259884e-07,4.6620929976259884e-07,322.76131662872916,0.152058506513643,0.15075130800691372,3.303499490295649e-11,4.6620929976259884e-07,4.087981750811769e-08
nominal_proxy,Q3,M,142650.0,0.09782459421713802,0.09782459421713802,0.0,11.389396182135467,11.291572053122977,0.0,0.0978241290124906,4.6520464741517387e-07,4.6520464741517387e-07,322.76182953780955,0.15185861576180623,0.1505542940416397,3.295978199889966e-11,4.6520464741517387e-07,4.084541796384765e-08
nominal_proxy,Q3,M,142725.0,0.09760947624870926,0.09760947624870926,0.0,11.374436290013303,11.276827277975547,0.0,0.09760901203775596,4.6421095330206885e-07,4.6421095330206885e-07,322.7623413484984,0.1516591505335107,0.15035769703967397,3.2885422847727885e-11,4.6421095330206885e-07,4.081177664247359e-08
nominal_proxy,Q3,M,142800.0,0.09739499791414205,0.09739499791414205,0.0,11.359508219944205,11.262113685242316,0.0,0.09739453470188941,4.632122526382343e-07,4.632122526382343e-07,322.76285206398694,0.15146010959925607,0.15016151580323087,3.2810723622576446e-11,4.632122526382343e-07,4.077749174255269e-08
nominal_proxy,Q3,M,142875.0,0.09718115685376998,0.09718115685376998,0.0,11.344611880048358,11.247431185411488,0.0,0.09718069463687051,4.622168994633524e-07,4.622168994633524e-07,322.7633616874549,0.1512614917339781,0.14996574913881983,3.273683776486568e-11,4.622168994633524e-07,4.0743297730286226e-08
nominal_proxy,Q3,M,142950.0,0.0969679507077445,0.0969679507077445,0.0,11.32974717877187,11.232779689292057,0.0,0.09696748947981249,4.6122793201375245e-07,4.6122793201375245e-07,322.76387022207024,0.15106329571695826,0.14977039585722743,3.2662778872550184e-11,4.6122793201375245e-07,4.0709463744957896e-08
nominal_proxy,Q3,M,143025.0,0.09675537712592158,0.09675537712592158,0.0,11.314914024897043,11.218159108012525,0.0,0.09675491688451743,4.60241404154349e-07,4.60241404154349e-07,322.7643776709897,0.15086552033196057,0.14957545477350034,3.258927895375505e-11,4.60241404154349e-07,4.067564306203704e-08
nominal_proxy,Q3,M,143100.0,0.09654343376979482,0.09654343376979482,0.0,11.300112327531194,11.20356935301938,0.0,0.09654297451181293,4.5925798189405675e-07,4.5925798189405675e-07,322.7648840373585,0.15066816436708258,0.14938092470692507,3.251596989436533e-11,4.5925798189405675e-07,4.0641895282327136e-08
