scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
high_proxy,高档等效潜热近似,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,19.11157879998791,0.17848101175507708,0.13426573710652112,,,62.867291388861474,4.9998763702121785e-11,1.1597394018119238e-09,1494571.296062981,89.60119910781881,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,4800000.0,4800000.0,1.4569300423755184e-14,1.8666916480795585e-05,864,1.1760875280233125e-08,3.7990421333233826e-06
same_product_scale_double,同乘积 scale 加倍,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,2.2495310000085738,2.5207786951783078,1.757251568797426,,,33.75718096411322,4.99888892526277e-11,2.331157787310127e-09,191354.2313682869,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,5.031081955664436e-14,3.934966216867355e-05,90,1.6244302241557334e-09,3.2362185322654113e-06
same_product_scale_double,同乘积 scale 加倍,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,19.160698699997738,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,4.9984291050589546e-11,1.0564068848134074e-09,590307.5056294391,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,2.199286149788364e-14,3.701526886409664e-05,803,1.2447970021619106e-07,4.380029849926359e-06
same_product_scale_double,同乘积 scale 加倍,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,21.42964220000431,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,4.9997782146809367e-11,5.387376525696997e-10,750360.4639479689,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.0,1200000.0,2400000.0,1.659095461654849e-14,3.733383296159117e-05,822,5.345503783829724e-08,3.2975408430502284e-06
same_product_Lv_double,同乘积 Lv 加倍,Q2,M,M,sensitivity,12,12,120.0,10800.0,PASS,1.5078994000068633,2.5207786951783078,1.757251568797426,,,33.75718096411322,4.99888892526277e-11,2.331157787310127e-09,191354.2313682869,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,5.031081955664436e-14,9.837415542168387e-06,90,1.6244302241557334e-09,3.2362185322654113e-06
same_product_Lv_double,同乘积 Lv 加倍,Q3,M,M,sensitivity,12,12,300.0,259200.0,PASS,19.181247400003485,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,4.9984291050589546e-11,1.0564068848134074e-09,590307.5056294391,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,2.199286149788364e-14,9.25381721602416e-06,803,1.2447970021619106e-07,4.380029849926359e-06
same_product_Lv_double,同乘积 Lv 加倍,Q4,M,M,sensitivity,12,12,300.0,259200.0,PASS,22.089962999991258,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,4.9997782146809367e-11,5.387376525696997e-10,750360.4639479689,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.5,4800000.0,2400000.0,1.659095461654849e-14,9.333458240397793e-06,822,5.345503783829724e-08,3.2975408430502284e-06
component_bound_low,液态-气态-结合水 低档 toy,Q2,M,M,component,12,12,120.0,10800.0,PASS,2.1846018999931403,2.5207786951783078,1.757251568797426,,,33.75718096411322,4.99888892526277e-11,2.331157787310127e-09,191354.2313682869,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,5.031081955664436e-14,1.9674831084336775e-05,90,1.6244302241557334e-09,3.2362185322654113e-06
component_bound_low,液态-气态-结合水 低档 toy,Q3,M,M,component,12,12,300.0,259200.0,PASS,19.157366800005548,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,4.9984291050589546e-11,1.0564068848134074e-09,590307.5056294391,44.41832263691597,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.199286149788364e-14,1.850763443204832e-05,803,1.2447970021619106e-07,4.380029849926359e-06
component_bound_low,液态-气态-结合水 低档 toy,Q4,M,M,component,12,12,300.0,259200.0,PASS,31.40866780000215,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,4.9997782146809367e-11,5.387376525696997e-10,750360.4639479689,44.80059955390941,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,1.659095461654849e-14,1.8666916480795585e-05,822,5.345503783829724e-08,3.2975408430502284e-06
