model,bound_fraction,release_tau_s,question,time_s,dt_s,rho_d_kg_m3,liquid_inventory_old_kg,bound_inventory_old_kg,liquid_inventory_new_kg,bound_inventory_new_kg,total_inventory_old_kg,total_inventory_new_kg,delta_total_inventory_kg,boundary_net_in_kg_s,expected_delta_from_boundary_kg,water_balance_residual_kg,release_to_liquid_kg_s,liquid_min_C,bound_min_C,total_min_C,phase_split_residual_C,dry_solid_inventory_relative_error,solver_relative_residual
M2,0.1,7200.0,Q3,100500.0,300.0,650.0,0.020342397021865515,2.35310807558301e-08,0.020291847292769925,2.2570764575375963e-08,0.020342420552946272,0.020291869863534498,-5.05506894117741e-05,-1.6850229808033242e-07,-5.055068942409973e-05,1.2325630425157053e-14,3.2010539348471286e-12,0.06282189712657256,2.2106146163289405e-07,0.0628221181880342,3.135530682278208e-18,0.0,1.2477481105433176e-11
M2,0.1,7200.0,Q3,100800.0,300.0,650.0,0.020291847292769925,2.2570764575375963e-08,0.020241761350347127,2.1649639419593036e-08,0.020291869863534498,0.02024178299998655,-5.0086863547946225e-05,-1.6695621187219017e-07,-5.008686356165705e-05,1.3710827449515267e-14,3.0704171859430806e-12,0.06278358547958016,2.1203982337140823e-07,0.06278379751940352,5.146969234211154e-18,0.0,1.1745778252196286e-11
M2,0.1,7200.0,Q3,101100.0,300.0,650.0,0.020241761350347127,2.1649639419593036e-08,0.0201921327349908,2.076610588148804e-08,0.02024178299998655,0.02019215350109668,-4.962949888987281e-05,-1.6543166301604465e-07,-4.962949890481339e-05,1.494058376365695e-14,2.9451117936833205e-12,0.06274556062921428,2.033863630651386e-07,0.06274576401557735,1.9451423419425363e-17,0.0,1.1056383138717671e-11
M2,0.1,7200.0,Q3,101400.0,300.0,650.0,0.0201921327349908,2.076610588148804e-08,0.02014295510213661,1.9918629826735393e-08,0.02019215350109668,0.020142975020766438,-4.9178480330241275e-05,-1.6392826782082564e-07,-4.917848034624769e-05,1.6006415485582404e-14,2.8249201825088174e-12,0.06270781903203379,1.9508605517185236e-07,0.06270801411808896,2.7281660681640132e-17,0.0,1.0409089225876111e-11
M2,0.1,7200.0,Q3,101700.0,300.0,650.0,0.02014295510213661,1.9918629826735393e-08,0.020094222219874176,1.910573972986421e-08,0.020142975020766438,0.020094241325613913,-4.873369515252454e-05,-1.6244565056476994e-07,-4.873369516943098e-05,1.6906438814016933e-14,2.709633656237281e-12,0.06267035720457094,1.8712448734985245e-07,0.06267054432905829,1.5333943323263006e-19,0.0,9.801279331590885e-12
M2,0.1,7200.0,Q3,102000.0,300.0,650.0,0.020094222219874176,1.910573972986421e-08,0.02004592796660925,1.8326024119156945e-08,0.020094241325613913,0.02004594629263337,-4.829503298054219e-05,-1.6098344332733998e-07,-4.8295032998201994e-05,1.7659803469832064e-14,2.599052035690892e-12,0.06263317172206974,1.7948783543293075e-07,0.06263335120990517,5.170050882023834e-18,0.0,9.23055633598826e-12
M2,0.1,7200.0,Q3,102300.0,300.0,650.0,0.02004592796660925,1.8326024119156945e-08,0.019998066328783707,1.757812912582312e-08,0.02004594629263337,0.019998083906912833,-4.786238572053805e-05,-1.5954128579609624e-07,-4.786238573882887e-05,1.8290815910482205e-14,2.4929833111127475e-12,0.06259625921725571,1.7216283942660717e-07,0.06259643138009514,2.5058675651130425e-18,0.0,8.694504138462747e-12
M2,0.1,7200.0,Q3,102600.0,300.0,650.0,0.019998066328783707,1.757812912582312e-08,0.019950631398644805,1.6860756133192612e-08,0.019998083906912833,0.019950648259400936,-4.743564751189672e-05,-1.5811882510232075e-07,-4.743564753069623e-05,1.8799510017285248e-14,2.3912433087683703e-12,0.06255961637913583,1.6513678048397507e-07,0.06255978151591632,1.172251247352589e-17,0.0,8.191207961712461e-12
M2,0.1,7200.0,Q3,102900.0,300.0,650.0,0.019950631398644805,1.6860756133192612e-08,0.019903617372063455,1.617265952184659e-08,0.019950648259400936,0.019903633544722975,-4.7014714677960645e-05,-1.5671571565277246e-07,-4.701471469583174e-05,1.7871094144458755e-14,2.2936553711533944e-12,0.06252323995182768,1.5839745882117497e-07,0.0625233983492865,5.212958394758185e-18,0.0,7.828483108416668e-12
M2,0.1,7200.0,Q3,103200.0,300.0,650.0,0.019903617372063455,1.617265952184659e-08,0.019857018546404995,1.5512644506770965e-08,0.019903633544722975,0.0198570340590495,-4.6599485673474994e-05,-1.5533161897249784e-07,-4.659948569174935e-05,1.827435636625116e-14,2.2000500502520846e-12,0.0624871267334174,1.5193317253414989e-07,0.062487278666589936,8.878519943780771e-18,0.0,7.38121354231293e-12
