model,bound_fraction,release_tau_s,question,time_s,dt_s,L_v_J_per_kg,surface_gasification_rate_kg_s,latent_power_W,cumulative_latent_energy_J,outer_gasification_max_kg_m2_s,z0_gasification_max_kg_m2_s,z1_gasification_max_kg_m2_s,liquid_inventory_kg,bound_inventory_kg,release_to_liquid_kg_s,heat_boundary_in_W,heat_solver_relative_residual,latent_enabled
M2,0.2,1800.0,Q2,8400.0,120.0,2400000.0,6.289829314552601e-06,15.095590354926241,157441.56471385853,0.00038791812751203946,0.0,0.0004228692827996113,0.19426917785293704,0.0004896613522114683,2.813067978370502e-07,15.805964301876354,2.5483676955413248e-11,True
M2,0.2,1800.0,Q2,8520.0,120.0,2400000.0,6.26906727021004e-06,15.045761448504097,159247.05608767903,0.00038675138765556077,0.0,0.00042247112407800097,0.19354846951783966,0.00045808161529385574,2.6316447431343746e-07,15.810394187337206,4.0171177150476254e-11,True
M2,0.2,1800.0,Q2,8640.0,120.0,2400000.0,6.241459914161515e-06,14.979503793987636,161044.59654295753,0.000385180131228698,0.0,0.00042159927044090186,0.19282903739300522,0.00042853855082196834,2.4619220393239487e-07,15.655726813854525,3.798506321328348e-11,True
M2,0.2,1800.0,Q2,8760.0,120.0,2400000.0,6.215823410108192e-06,14.917976184259661,162834.7536850687,0.0003837178607969788,0.0,0.00042085228607046846,0.19211077632734275,0.0004009008076492783,2.303145264390833e-07,15.565707317963229,3.6037634613370797e-11,True
M2,0.2,1800.0,Q2,8880.0,120.0,2400000.0,6.191607260693263e-06,14.859857425663831,164617.93657614835,0.0003823301870627174,0.0,0.0004201976619250305,0.1913936387582118,0.0003750455058607169,2.1546084823801197e-07,15.51770853411543,3.414710522871552e-11,True
M2,0.2,1800.0,Q2,9000.0,120.0,2400000.0,6.170382774984215e-06,14.808918659962115,166395.0068153438,0.00038111189968093967,0.0,0.0004197391675962318,0.19067738064098746,0.00035085769043741714,2.0156512852749745e-07,15.528570196236991,3.2192522884793215e-11,True
M2,0.2,1800.0,Q2,9120.0,120.0,2400000.0,6.142068759584833e-06,14.740965023003598,168163.92261810423,0.00037947904138097325,0.0,0.00041874997298053224,0.18996296026045445,0.0003282298201562649,1.8856558567626952e-07,15.338400036767569,3.05273180673559e-11,True
M2,0.2,1800.0,Q2,9240.0,120.0,2400000.0,6.117534940992573e-06,14.682083858382175,169925.7726811101,0.00037806017539444717,0.0,0.0004179900307420589,0.18925002459856322,0.00030706128945185747,1.7640442253672814e-07,15.27196376214433,2.907739506341346e-11,True
M2,0.2,1800.0,Q2,9360.0,120.0,2400000.0,6.094124782447988e-06,14.625899477875171,171680.88061845512,0.00037669871821340744,0.0,0.00041730587593158776,0.1885385329333785,0.0002872579811150281,1.6502756947357807e-07,15.23733474875759,4.978210475440303e-11,True
M2,0.2,1800.0,Q2,9480.0,120.0,2400000.0,6.072144236767569e-06,14.573146168242166,173429.6581586442,0.00037541527908630185,0.0,0.0004167219332540212,0.18782840175860144,0.00026873184783918934,1.54384443965323e-07,15.242204110335301,4.907017269038379e-11,True
M2,0.2,1800.0,Q2,9600.0,120.0,2400000.0,6.044855443724143e-06,14.507653064937942,175170.57652643675,0.0003738231580143371,0.0,0.00041571441874531015,0.18712035043248332,0.0002514005207540155,1.444277257097819e-07,15.067359778910232,2.772947463154939e-11,True
M2,0.2,1800.0,Q2,9720.0,120.0,2400000.0,6.023711446550447e-06,14.456907471721072,176905.40542304327,0.00037258671132664987,0.0,0.00041507584542356855,0.18641371863648834,0.00023518694320596772,1.3511314623373167e-07,15.029507091215791,2.6242173834440288e-11,True
M2,0.2,1800.0,Q2,9840.0,120.0,2400000.0,5.999032900858851e-06,14.397678962061242,178633.12689849062,0.00037113017707647464,0.0,0.00041427545142289627,0.1857090026034759,0.00022001902815741716,1.263992920712546e-07,15.017761249985682,2.4470327903918748e-11,True
M2,0.2,1800.0,Q2,9960.0,120.0,2400000.0,5.978434778398569e-06,14.348243468156564,180354.9161146694,0.0003699161280978827,0.0,0.0004136723651389127,0.1850057801205854,0.00020582933768113196,1.182474206357101e-07,14.993584683748788,2.2998457546235308e-11,True
M2,0.2,1800.0,Q2,10080.0,120.0,2400000.0,5.953725534347434e-06,14.288941282433843,182069.58906856147,0.00036846253237679137,0.0,0.00041274092568406714,0.18430460761105935,0.0001925547831251305,1.1062128796667867e-07,14.839410839120628,2.2018290855208158e-11,True
M2,0.2,1800.0,Q2,10200.0,120.0,2400000.0,5.93139124644155e-06,14.23533899145972,183777.82974753663,0.0003671413376357192,0.0,0.0004119540060367446,0.18360525910003545,0.00018013634461480787,1.0348698758602198e-07,14.777087339515024,2.0898516470075808e-11,True
M2,0.2,1800.0,Q2,10320.0,120.0,2400000.0,5.9071400091330785e-06,14.177136021919388,185479.08607016696,0.0003656984306204847,0.0,0.00041105143872638487,0.18290801983518606,0.0001685188086452154,9.68127997466039e-08,14.71191962973399,4.1230390497318563e-11,True
M2,0.2,1800.0,Q2,10440.0,120.0,2400000.0,5.8857695699134705e-06,14.125846967792329,187174.18770630204,0.00036442291451580823,0.0,0.0004102701226736154,0.18221259577311272,0.00015765052259680558,9.05690504034152e-08,14.639059147073013,3.9180758845320844e-11,True
M2,0.2,1800.0,Q2,10560.0,120.0,2400000.0,5.862035851083136e-06,14.068886042599527,188862.45403141397,0.0003629961709601488,0.0,0.00040938781035646107,0.1815193188287548,0.00014748316508319653,8.472797928007546e-08,14.624731759662106,3.676403065985124e-11,True
M2,0.2,1800.0,Q2,10680.0,120.0,2400000.0,5.842103093782777e-06,14.021047425078663,190544.97972242342,0.00036179179453495034,0.0,0.00040871756883813167,0.18082777809172362,0.00013797153110990153,7.92636164441249e-08,14.634900407627955,3.440643828501083e-11,True
M2,0.2,1800.0,Q2,10800.0,120.0,2400000.0,5.8247937479189825e-06,13.979504995005557,192222.5203218241,0.000360748594659146,0.0,0.00040812651995346687,0.1801377010422356,0.00012907333108882005,7.415166684234578e-08,14.566678485969723,3.263093631406217e-11,True
M2,0.2,7200.0,Q2,120.0,120.0,2400000.0,1.4842417376513438e-05,35.62180170363225,4274.61620443587,0.0008834077174663283,0.0,0.0008251107502955333,0.20736717561978135,0.05121122545870651,7.172273121202644e-06,7.185143182856829,4.2344170539510715e-11,True
M2,0.2,7200.0,Q2,240.0,120.0,2400000.0,1.3392908780040509e-05,32.14298107209722,8131.7739330875365,0.0008002678355407389,0.0,0.0007525691733263248,0.2066064736706986,0.050364778353860724,7.0537258737149035e-06,10.158247686531798,4.591883965458238e-11,True
M2,0.2,7200.0,Q2,360.0,120.0,2400000.0,1.2318256998725631e-05,29.563816796941516,11679.431948720518,0.0007381126795055827,0.0,0.0006957483698382959,0.2059607393957547,0.04953232178907492,6.937138039881574e-06,12.126129486596602,3.545715417352354e-11,True
M2,0.2,7200.0,Q2,480.0,120.0,2400000.0,1.1474172451664013e-05,27.53801388399363,14983.993614799754,0.0006888453376802399,0.0,0.0006481968270270704,0.20540253596969804,0.048713624521061705,6.822477233443542e-06,13.398441165769375,4.937272109268383e-11,True
M2,0.2,7200.0,Q2,600.0,120.0,2400000.0,1.0797115725756093e-05,25.91307774181462,18093.56294381751,0.0006489392110614844,0.0,0.0006087197129892669,0.20491204747513264,0.047908459128648946,6.709711603439643e-06,14.45554828817933,3.7674548945747304e-11,True
M2,0.2,7200.0,Q2,720.0,120.0,2400000.0,1.0244272843695295e-05,24.586254824868707,21043.913522801755,0.0006160544228305229,0.0,0.0005763009982724273,0.20447459191301784,0.04711660194960592,6.598809825358545e-06,15.304802474975311,4.504641685810531e-11,True
M2,0.2,7200.0,Q2,840.0,120.0,2400000.0,9.779996611592866e-06,23.471991867822876,23860.5525469405,0.0005882152486436055,0.0,0.0005495468050253765,0.20407976125078067,0.046337833018513394,6.48974109243774e-06,15.946084760257854,3.93474790639621e-11,True
M2,0.2,7200.0,Q2,960.0,120.0,2400000.0,9.391647135096056e-06,22.539953124230536,26565.346921848166,0.0005647433102154434,0.0,0.0005279340007459092,0.20371866060745938,0.04557193600566072,6.382475107105628e-06,16.514481509442597,3.8260118329197284e-11,True
M2,0.2,7200.0,Q2,1080.0,120.0,2400000.0,9.061636221436525e-06,21.747926931447658,29175.098153621886,0.0005446473864456466,0.0,0.0005104274010181416,0.20338450210961126,0.04481869815695287,6.276982072565449e-06,17.010938039438212,4.7837911091207554e-11,True
M2,0.2,7200.0,Q2,1200.0,120.0,2400000.0,8.778738622465079e-06,21.068972693916187,31703.37487689183,0.0005273213069471007,0.0,0.0004961286727599509,0.2030718413969324,0.04407791023481068,6.173232684518165e-06,17.386589643157073,4.694374015634048e-11,True
M2,0.2,7200.0,Q2,1320.0,120.0,2400000.0,8.538783387621603e-06,20.493080130291847,34162.54449252685,0.0005125340188404101,0.0,0.00048466422599188156,0.20277573116509356,0.043349366460048014,6.071198123022221e-06,17.737832570873692,4.653523071272937e-11,True
M2,0.2,7200.0,Q2,1440.0,120.0,2400000.0,8.3286306432882e-06,19.98871354389168,36561.190117793856,0.0004995379239330484,0.0,0.00047508520114625876,0.20249279749317747,0.042632864454709485,5.970850044487766e-06,17.978167809232318,4.9530512441112616e-11,True
M2,0.2,7200.0,Q2,1560.0,120.0,2400000.0,8.145003963865058e-06,19.54800951327614,38906.951259386995,0.00048815060793860144,0.0,0.00046957840232352027,0.20222005628632492,0.04192820518585311,5.872160573803239e-06,18.1571323961618,3.934985900916046e-11,True
M2,0.2,7200.0,Q2,1680.0,120.0,2400000.0,7.984300014769377e-06,19.162320035446506,41206.42966364058,0.0004781623059165054,0.0,0.00046493723091014984,0.2019549525601115,0.04123519291026203,5.7751022965922326e-06,18.296290081167065,4.571192817513664e-11,True
M2,0.2,7200.0,Q2,1800.0,120.0,2400000.0,7.849324944616527e-06,18.838379867079663,43467.03524769014,0.00046971758174168464,0.0,0.0004613977278600956,0.20169459135697054,0.04055363512007025,5.67964825159816e-06,18.526993901306295,4.0532450259345744e-11,True
M2,0.2,7200.0,Q2,1920.0,120.0,2400000.0,7.726738806486194e-06,18.544173135566865,45692.33602395816,0.0004620689540366803,0.0,0.0004578618654718504,0.2014376753310038,0.03988334248928689,5.58577192319465e-06,18.573963125655595,2.5497835142029244e-11,True
M2,0.2,7200.0,Q2,2040.0,120.0,2400000.0,7.62264134008161e-06,18.294339216195866,47887.65672990166,0.00045555415772501924,0.0,0.0004549189987865854,0.20118217203837838,0.03922412882120447,5.493447234020214e-06,18.67990813485562,4.771670717535676e-11,True
M2,0.2,7200.0,Q2,2160.0,120.0,2400000.0,7.528034059173053e-06,18.067281742015325,50055.7305389435,0.00044965370900366204,0.0,0.00045196895112826704,0.20092712577588365,0.03857581099667636,5.402648537734206e-06,18.687771614376096,4.9323255409823225e-11,True
M2,0.2,7200.0,Q2,2280.0,120.0,2400000.0,7.4458882539852634e-06,17.870131809564633,52200.14635609125,0.00044452605047152756,0.0,0.000449376747458448,0.20067122125889417,0.03793820892324924,5.3133506118926875e-06,18.74174285362234,4.036259875198041e-11,True
M2,0.2,7200.0,Q2,2400.0,120.0,2400000.0,7.377171382619116e-06,17.70521131828588,54324.771714285554,0.0004402892902559819,0.0,0.00044719990623075766,0.2004130241311398,0.03731114548513619,5.22552865094206e-06,18.79217072969795,4.080268221254299e-11,True
M2,0.2,7200.0,Q2,2520.0,120.0,2400000.0,7.31618985220769e-06,17.558855645298458,56431.83439172137,0.000437999177783953,0.0,0.0004451780641656043,0.20015178034002695,0.03669444649401677,5.139158259328499e-06,18.830493074219504,3.504007302299319e-11,True
M2,0.2,7200.0,Q2,2640.0,120.0,2400000.0,7.262042398474365e-06,17.428901756338476,58523.30260248199,0.00043601827940918517,0.0,0.0004432285274438157,0.1998868411056075,0.03608794064065024,5.054215444721175e-06,18.832303743827524,2.570582617451121e-11,True
M2,0.2,7200.0,Q2,2760.0,120.0,2400000.0,7.210637788249908e-06,17.30553069179978,60599.96628549797,0.000434097922734635,0.0,0.0004410233971897214,0.19961804576438466,0.035491459447288515,4.970676611347634e-06,18.733667748119622,3.83825144292117e-11,True
