model,bound_fraction,release_tau_s,question,level,dt_level,nr,nz,dt_s,duration_s,status,event_status,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_total_C,final_mean_total_C,final_center_total_C,final_surface_total_C,temperature_min_C,temperature_max_C,temperature_profile_min_C,temperature_profile_max_C,min_liquid_C,min_bound_C,min_total_C,all_water_nonnegative,max_water_balance_abs_kg,max_phase_split_residual_C,final_liquid_inventory_kg,final_bound_inventory_kg,final_total_inventory_kg,initial_total_inventory_kg,latent_total_energy_J,latent_peak_power_W,latent_peak_gasification_kg_s,max_solver_relative_residual,max_picard_iterations,max_picard_update,stable_numeric,latent_definition,notes,error
M2,0.2,21600.0,Q2,M,M,12,12,120.0,10800.0,PASS,NOT_REACHED_HORIZON,,,10800.0,2.505833439276603,1.8274879244405973,2.505833439276603,0.9723613459908876,15.732533577568518,24.910436677242842,15.732034180961648,17.04916328281371,0.36180057287155015,0.30933063645344255,0.6711312093249927,True,2.4838412576722035e-12,2.220446049250313e-16,0.15500653294536312,0.031583202787902685,0.18658973573326576,0.26035949116625406,177047.41302236004,35.53089880910086,1.4804541170458692e-05,4.997580091529815e-11,25,9.97608822217444e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M0,0.0,0.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,213420.0,213374.19495377087,213420.0,0.14993638714134797,0.12289735811913033,0.14993638714134797,0.05255990844925276,49.99893442622971,49.998934426230676,49.99893442623022,49.998934426230676,0.05595693872337509,0.0,0.05595693872337509,True,4.5105707363601866e-12,0.0,0.012548036715911247,0.0,0.012548036715911247,0.26035949116625406,0.0,0.0,0.0,4.9961524537958594e-11,6,9.979815110416901e-08,True,none,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M1,0.0,0.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240840.0,240794.91326405422,240840.0,0.14996997216613922,0.12273220668181195,0.14996997216613922,0.0525501067765165,49.86584756834685,49.95063026488418,49.86581790430796,49.87054683807469,0.05587889959764187,0.0,0.05587889959764187,True,3.759603739439399e-12,0.0,0.012531174463289448,0.0,0.012531174463289448,0.26035949116625406,594787.9601105865,38.11436882438911,1.588098701016213e-05,4.999683214702165e-11,43,9.996216476793052e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,1800.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240840.0,240794.91326405422,240840.0,0.14996997216613922,0.12273220668181195,0.14996997216613922,0.0525501067765165,49.86584756834685,49.95063026488418,49.86581790430796,49.87054683807469,0.05587889959764187,0.0,0.05587889959764187,True,3.759603739439399e-12,0.0,0.012531174463289448,0.0,0.012531174463289448,0.26035949116625406,594787.9601105865,38.11436882438911,1.588098701016213e-05,4.999683214702165e-11,43,9.996216476793052e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,7200.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240840.0,240794.91326405422,240840.0,0.14996997216613922,0.12273220668181195,0.14996997216613922,0.0525501067765165,49.86584756834685,49.95063026488418,49.86581790430796,49.87054683807469,0.05587889959764187,0.0,0.05587889959764187,True,3.759603739439399e-12,0.0,0.012531174463289448,0.0,0.012531174463289448,0.26035949116625406,594787.9601105865,38.11436882438911,1.588098701016213e-05,4.999683214702165e-11,43,9.996216476793052e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.0,21600.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240840.0,240794.91326405422,240840.0,0.14996997216613922,0.12273220668181195,0.14996997216613922,0.0525501067765165,49.86584756834685,49.95063026488418,49.86581790430796,49.87054683807469,0.05587889959764187,0.0,0.05587889959764187,True,3.759603739439399e-12,0.0,0.012531174463289448,0.0,0.012531174463289448,0.26035949116625406,594787.9601105865,38.11436882438911,1.588098701016213e-05,4.999683214702165e-11,43,9.996216476793052e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,1800.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240900.0,240867.26009345468,240900.0,0.14998995061999126,0.12274627224220946,0.14998995061999126,0.052551659033377274,49.86576657529582,49.95060279383944,49.86573688633888,49.87046885858126,0.055880399825207844,1.9207109798340036e-59,0.055880399825207844,True,3.8475160557549515e-12,2.220446049250313e-16,0.012532610581778885,1.9610797387726218e-60,0.012532610581778885,0.26035949116625406,594784.5134197463,35.44349243783999,1.4768121849099997e-05,4.999986165606433e-11,39,9.962769809135352e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,7200.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,241200.0,241165.66339864512,241200.0,0.1499895094234434,0.12274656019109802,0.1499895094234434,0.05255162469507961,49.865768261523385,49.950599469300926,49.86573859389159,49.87047054370328,0.05588062446383569,7.205681082144692e-16,0.05588062446383641,True,3.708543671807063e-12,2.220446049250313e-16,0.012532639981867481,7.357127294327433e-17,0.012532639981867554,0.26035949116625406,594784.442838117,35.079030280542284,1.4616262616892619e-05,4.9999791524871965e-11,37,9.955510904546827e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,21600.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,242640.0,242589.96321903483,242640.0,0.14996860172319335,0.12271936958731552,0.14996860172319335,0.052550067787518494,49.86587006372258,49.95077112784526,49.8658403316125,49.87056821698775,0.05587691928330154,3.3632498138305586e-06,0.05588028253311537,True,3.3652830955938073e-12,2.220446049250313e-16,0.012529520379602652,3.43393729487813e-07,0.012529863773332137,0.26035949116625406,594791.1057135789,34.99135492955009,1.457973122064587e-05,4.9998404250799124e-11,37,9.965333447325975e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,1800.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,240960.0,240944.22644003519,240960.0,0.14992844119127566,0.1227029541414447,0.14992844119127566,0.05254688188983268,49.86601585762003,49.950687312843684,49.86598624187377,49.87070885361743,0.055875784017110464,3.251693486452458e-59,0.055875784017110464,True,3.6069034044239334e-12,2.220446049250313e-16,0.01252818772739716,3.320036319848568e-60,0.01252818772739716,0.26035949116625406,594795.1282731487,32.65552674102121,1.3606469475425505e-05,4.9994347799564304e-11,35,9.98834366328083e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,7200.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,241620.0,241560.13438932688,241620.0,0.14993282046272133,0.12270730004165621,0.14993282046272133,0.052547221686716265,49.86599789010285,49.95067310250761,49.86596831496081,49.87069169278482,0.05587664946706652,1.3259093266454804e-15,0.05587664946706784,True,3.809467498394614e-12,2.220446049250313e-16,0.012528631451462798,1.35377677497258e-16,0.012528631451462935,0.26035949116625406,594794.0632797596,31.893425510351005,1.3288927295979585e-05,5.0001667444718394e-11,33,9.988610827349476e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,21600.0,Q3,M,M,12,12,300.0,259200.0,PASS,REACHED,244620.0,244603.8834286289,244620.0,0.1499448561243803,0.12270036744508854,0.1499448561243803,0.052548279533580614,49.86597880021094,49.9508600803743,49.865949271753266,49.87067338464652,0.055877760470288355,6.103318693583662e-06,0.05588386378898194,True,3.1930367638127732e-12,2.220446049250313e-16,0.012527300461555363,6.231595880340898e-07,0.012527923621143397,0.26035949116625406,594795.762108546,31.7095142524856,1.3212297605202334e-05,4.999782778574674e-11,33,9.981079074350419e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M0,0.0,0.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,186840.0,186821.2146792596,186840.0,0.14995942641406115,0.11698131617841888,0.14995942641406115,0.05258048363228678,49.99893442622971,49.99893442623079,49.99893442623039,49.998934426230846,0.05323766515331961,0.0,0.05323766515331961,True,5.98605713608702e-12,0.0,0.015067813384048811,0.0,0.015067813384048813,0.3284535119328128,0.0,0.0,0.0,4.9971273697610745e-11,6,9.99937673495932e-08,True,none,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M1,0.0,0.0,Q4,M,M,12,,,,FAIL,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError('Picard failed at Q4 M1 t=300.0s update=3.122e-06')
M2,0.0,1800.0,Q4,M,M,12,,,,FAIL,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError('Picard failed at Q4 M2 t=300.0s update=3.122e-06')
M2,0.0,7200.0,Q4,M,M,12,,,,FAIL,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError('Picard failed at Q4 M2 t=300.0s update=3.122e-06')
M2,0.0,21600.0,Q4,M,M,12,,,,FAIL,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError('Picard failed at Q4 M2 t=300.0s update=3.122e-06')
M2,0.1,1800.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,246240.0,246236.81021670182,246240.0,0.14996769348970046,0.11653120699373903,0.14996769348970046,0.09383232165673022,49.53058820436212,49.851800977927724,49.530581498422634,49.53243673497724,0.05302419370569394,9.56265688679026e-61,0.05302419370569394,True,9.459797040752699e-13,2.220446049250313e-16,0.015009836936024765,1.2317208775979453e-61,0.015009836936024768,0.3284535119328128,752264.8199690806,29.62404650079012,1.234335270866255e-05,4.999952912638223e-11,73,9.999814665206941e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,7200.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,246480.0,246429.19728492078,246480.0,0.1499144870753613,0.11649702944660384,0.1499144870753613,0.09380823713026307,49.5311663964801,49.851948733619906,49.53115970481298,49.533011568917175,0.05302222479156455,3.403722732923832e-16,0.05302222479156489,True,9.275563715542556e-13,2.220446049250313e-16,0.01500543468685382,4.3841752363701346e-17,0.015005434686853865,0.3284535119328128,752275.3853595431,29.376649251521133,1.2240270521467138e-05,4.999710473027347e-11,73,9.999695294027333e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.1,21600.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,247020.0,247010.37571065873,247020.0,0.14990519426429863,0.11649094652886782,0.14990519426429863,0.09380367408157667,49.5312663769318,49.851967781500946,49.53125967860183,49.53311120969147,0.053023962223205365,2.7307447650333892e-06,0.0530266929679704,True,8.828602183087036e-13,2.220446049250313e-16,0.015004299440421918,3.5173439539896495e-07,0.01500465117481732,0.3284535119328128,752277.2658322598,29.31700159111679,1.2215417329631995e-05,4.999948633786691e-11,71,9.999587291531498e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,1800.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,246300.0,246299.86393596555,246300.0,0.14999893253796387,0.11655186677810808,0.14999893253796387,0.09384645951819821,49.53024818503167,49.85169919036366,49.53024147599251,49.53209881032814,0.053025582701016816,1.912531377358052e-60,0.053025582701016816,True,9.054640988815504e-13,2.220446049250313e-16,0.015012498025723506,2.4634417551958906e-61,0.015012498025723508,0.3284535119328128,752258.4333638388,27.70813267454868,1.154505528106195e-05,5.000111753168022e-11,61,9.998325367632788e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,7200.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,246720.0,246705.4396278287,246720.0,0.14990275916235873,0.11649027813433763,0.14990275916235873,0.09380292628939137,49.53129343602751,49.851961669640104,49.53128675502944,49.53313798495179,0.05302209578078252,6.529629920686485e-16,0.05302209578078317,True,9.238638229002588e-13,2.220446049250313e-16,0.015004565082060058,8.410509329690394e-17,0.015004565082060143,0.3284535119328128,752277.4724154266,27.174658941099974,1.1322774558791655e-05,4.999960954872987e-11,57,9.994835181714734e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
M2,0.2,21600.0,Q4,M,M,12,12,300.0,259200.0,PASS,REACHED,248040.0,247984.6749962427,248040.0,0.1499418982703613,0.11651742692443494,0.1499418982703613,0.0938199604861829,49.53086620166721,49.85177533031265,49.53085950560643,49.53271374379409,0.05302857658958226,5.238603177351996e-06,0.05303381519275961,True,1.3128818778657125e-12,2.220446049250313e-16,0.015007387230233064,6.747598475386883e-07,0.015008061990080607,0.3284535119328128,752269.0798798483,27.04526633214155,1.1268860971725647e-05,4.999931997448942e-11,57,9.959228464140324e-08,True,positive liquid-water surface gasification flux times nominal Lv,M0/M1/M2 are local three-water candidates layered over the frozen appendix solver; they are not upstream H2 M1/M2 names.,
