time_s,max_C,mean_C,center_C,surface_C
152940,0.1697025534416082,0.1290079356917388,0.1697025534416082,0.0539752098053196
153000,0.1696548046193935,0.1289772917348219,0.1696548046193935,0.0539715357707116
153060,0.1696071018692837,0.1289466758063965,0.1696071018692837,0.053967867001787
153120,0.1695594451225416,0.1289160878665111,0.1695594451225416,0.0539642034884852
153180,0.1695118343114448,0.1288855278751448,0.1695118343114448,0.0539605452221865
153240,0.1694642693658489,0.1288549957926387,0.1694642693658489,0.0539568921907471
153300,0.1694167502215673,0.1288244915792713,0.1694167502215673,0.0539532443845234
153360,0.1693692768043642,0.1287940151953963,0.1693692768043642,0.0539496017936663
153420,0.1693218490557987,0.1287635666014408,0.1693218490557987,0.0539459644084213
153480,0.1692744668977645,0.1287331457579075,0.1692744668977645,0.0539423322188127
153540,0.1692271302724304,0.1287027526253736,0.1692271302724304,0.0539387052150134
153600,0.1691798391033304,0.1286723871644912,0.1691798391033304,0.0539350833871484
153660,0.1691325933322767,0.128642049335987,0.1691325933322767,0.0539314667253705
153720,0.1690853928827077,0.1286117391006619,0.1690853928827077,0.0539278552198577
153780,0.1690382376972457,0.1285814564193911,0.1690382376972457,0.0539242488608106
153840,0.1689911276999609,0.1285512012531238,0.1689911276999609,0.053920647638452
153900,0.1689440628325813,0.1285209735628834,0.1689440628325813,0.0539170515430275
153960,0.1688970430200445,0.1284907733097666,0.1688970430200445,0.0539134605648059
154020,0.1688500681959758,0.1284606004549436,0.1688500681959758,0.0539098746940932
154080,0.1688031383025424,0.1284304549596582,0.1688031383025424,0.0539062939211798
154140,0.1687562532705182,0.1284003367852277,0.1687562532705182,0.0539027182364032
154200,0.1687094130366119,0.1283702458930419,0.1687094130366119,0.0538991476301289
154260,0.1686626175266671,0.1283401822445646,0.1686626175266671,0.0538955820927265
154320,0.1686158666778542,0.1283101458013307,0.1686158666778542,0.0538920216146092
154380,0.168569160430174,0.1282801365249483,0.168569160430174,0.0538884661861999
154440,0.1685224987076592,0.1282501543770977,0.1685224987076592,0.053884915797947
154500,0.1684758814581482,0.128220199319532,0.1684758814581482,0.053881370440313
154560,0.168429308601257,0.128190271314076,0.168429308601257,0.0538778301037904
154620,0.1683827800864469,0.1281603703226259,0.1683827800864469,0.0538742947788955
154680,0.1683362958359816,0.1281304963071499,0.1683362958359816,0.0538707644561635
154740,0.1682898557964,0.1281006492296881,0.1682898557964,0.0538672391261492
154800,0.1682434598908683,0.1280708290523518,0.1682434598908683,0.0538637187794305
154860,0.1681971080671603,0.1280410357373229,0.1681971080671603,0.0538602034066125
154920,0.1681508002490847,0.128011269246855,0.1681508002490847,0.053856692998316
154980,0.1681045363832215,0.1279815295432724,0.1681045363832215,0.0538531875451863
155040,0.1680583163941419,0.1279518165889701,0.1680583163941419,0.0538496870378783
155100,0.1680121402287809,0.1279221303464131,0.1680121402287809,0.0538461914671269
155160,0.1679660078123875,0.1278924707781379,0.1679660078123875,0.0538427008235627
155220,0.1679199190914913,0.1278628378467499,0.1679199190914913,0.0538392150980132
155280,0.1678738739918034,0.1278332315149257,0.1678738739918034,0.0538357342811389
155340,0.1678278724600458,0.1278036517454112,0.1678278724600458,0.0538322583637677
155400,0.1677819144225106,0.1277740985010219,0.1677819144225106,0.0538287873366864
155460,0.1677359998257737,0.1277445717446433,0.1677359998257737,0.0538253211907117
155520,0.1676901285965611,0.12771507143923,0.1676901285965611,0.0538218599166822
155580,0.1676443006815292,0.1276855975478058,0.1676443006815292,0.0538184035054581
155640,0.1675985160079306,0.1276561500334637,0.1675985160079306,0.0538149519479208
155700,0.1675527745224033,0.1276267288593657,0.1675527745224033,0.0538115052349732
155760,0.1675070761526272,0.1275973339887424,0.1675070761526272,0.0538080633575391
155820,0.167461420845274,0.1275679653848929,0.167461420845274,0.0538046263065635
155880,0.16741580852851,0.1275386230111851,0.16741580852851,0.0538011940730121
155940,0.1673702391490427,0.1275093068310548,0.1673702391490427,0.053797766647872
156000,0.1673247126354607,0.1274800168080062,0.1673247126354607,0.0537943440221509
156060,0.1672792289345018,0.1274507529056112,0.1672792289345018,0.0537909261868773
156120,0.1672337879752101,0.1274215150875099,0.1672337879752101,0.0537875131331008
156180,0.1671883897043781,0.1273923033174096,0.1671883897043781,0.0537841048518911
156240,0.1671430340514662,0.1273631175590854,0.1671430340514662,0.0537807013343395
156300,0.1670977209633075,0.1273339577763797,0.1670977209633075,0.0537773025715567
156360,0.1670524503697956,0.127304823933202,0.1670524503697956,0.0537739085546753
156420,0.1670072222178253,0.1272757159935288,0.1670072222178253,0.0537705192748471
156480,0.1669620364376998,0.1272466339214036,0.1669620364376998,0.0537671347232456
