time_s,old_radius_m,new_radius_m,dt_s,nr,nz,scenario,volume_old_m3,volume_new_m3,volume_change_m3,outer_area_m2,z0_area_m2,z1_area_m2,sensible_energy_old_J,sensible_energy_new_J,inventory_change_J,linear_storage_change_J,capacity_change_J,geometry_change_J,geometry_change_using_new_capacity_J,legacy_geometry_abs_K_J,decomposition_residual_J,convective_outer_W,convective_z0_W,convective_z1_W,convective_input_W,convective_input_recomputed_W,convective_recompute_difference_W,latent_outer_out_W,latent_z0_out_W,latent_z1_out_W,latent_out_W,net_boundary_power_W,internal_radial_face_abs_W,internal_axial_face_abs_W,internal_radial_domain_net_W,internal_axial_domain_net_W,linear_solver_relative_residual,linear_solver_cg_iterations,linear_balance_residual_J,linear_balance_relative,raw_inventory_residual_J,raw_inventory_relative,legacy_omitted_geometry_residual_J,legacy_omitted_geometry_relative,corrected_physical_residual_J,corrected_physical_relative,picard_calls
13050.0,0.01502553947585979,0.015011194642857145,75.0,12,12,nominal_proxy,8.865842938752778e-05,8.848922637437148e-05,-1.6920301315628926e-07,0.011789764702901617,0.0007079138109949719,0.0007079138109949719,3478.9916627178586,3478.8255136985576,-0.16614901930097403,8.237427348285015,-1.763983537619805,-6.639592829965913,-6.636219861956672,-146.50688556233226,-2.708944180085382e-13,10.509777661172464,0.0,0.5195890032408881,11.029366664413352,11.029366664413352,0.0,10.407661250100594,0.0,0.5118730526485906,10.919534302749184,0.10983236166416788,0.7571911982920584,0.18224106715855892,0.0,0.0,3.03626247544219e-11,1,2.2347242456532967e-07,2.7128909927424773e-08,-8.403576144113565,1.0201700138627634,-146.50688533885983,0.17711127005635427,2.2347215367091167e-07,2.7128877777598048e-08,9
13125.0,0.015011194642857145,0.014997008043981483,75.0,12,12,nominal_proxy,8.848922637437148e-05,8.832204874614826e-05,-1.671776282232444e-07,0.011778622574199815,0.0007065763899691861,0.0007065763899691861,3478.8255136988682,3478.5137421808445,-0.311771518023761,8.02311907672358,-1.762544759987193,-6.57234583475938,-6.569009657023525,-144.69630164190625,-7.673861546209082e-13,10.491165185098378,0.0,0.5177308591550588,11.008896044253436,11.008896044253436,0.0,10.391760124538084,0.0,0.510160996772364,10.901921121310448,0.10697492294298883,0.7632388540544922,0.18259115846426063,0.0,0.0,3.2065445901085006e-11,1,-1.4400058212515887e-07,1.794820420382105e-08,-8.334890738747923,1.0388591406218217,-144.69630178590683,0.17524772838773087,-1.440013495113135e-07,1.794829985068027e-08,9
13200.0,0.014997008043981483,0.014982969312169313,75.0,12,12,nominal_proxy,8.832204874614826e-05,8.815676921819993e-05,-1.6527952794831274e-07,0.011767596580018106,0.0007052541537455995,0.0007052541537455995,3478.51374218101,3476.211999975835,-2.3017422051748326,5.969177767630574,-1.7614796073329075,-6.509440365472413,-6.506137879224646,-142.99691622761736,-8.704148513061227e-14,10.447192502000618,0.0,0.5144768752830693,10.961669377283688,10.961669377283688,0.0,10.373846111041656,0.0,0.5082342116153964,10.882080322657053,0.07958905462663424,0.719203002324282,0.1826604754191499,0.0,0.0,3.201227902501742e-11,3,-1.3293669933744923e-06,2.2270516125796082e-07,-8.2709213021724,1.385604480578005,-142.99691755698436,0.17393569371629067,-1.3293670804159774e-06,2.2270517583977915e-07,8
13275.0,0.014982969312169313,0.014969068080357141,75.0,12,12,nominal_proxy,8.815676921819993e-05,8.799326101710688e-05,-1.6350820109305123e-07,0.011756678578083865,0.000703946088136855,0.000703946088136855,3476.2119999762276,3476.407377316807,0.19537734057939815,8.399175501375481,-1.7563162966715844,-6.447481864124922,-6.444218294677673,-141.40485616548904,4.227729277772596e-13,10.456849735648762,0.0,0.5142842503215874,10.971133985970349,10.971133985970349,0.0,10.352746724852704,0.0,0.5063982586922178,10.859144983544923,0.11198900242542642,0.7619406164492999,0.18309711439246715,0.0,0.0,3.259135683868101e-11,1,3.1946849965436286e-07,3.803569762318283e-08,-8.203797841327583,0.9767385086811537,-141.40485584602052,0.1718507932140786,3.1946892242729064e-07,3.803574940495016e-08,9
13350.0,0.014969068080357141,0.014955293981481481,75.0,12,12,nominal_proxy,8.799326101710688e-05,8.783139786907038e-05,-1.6186314803651126e-07,0.01174586042612447,0.0007026511829525629,0.0007026511829525629,3476.407377317088,3478.3590152906445,1.9516379735564442,10.102679666948374,-1.7562083226799396,-6.394833370711263,-6.391596881088946,-139.92777879256582,-7.274181257344026e-13,10.469985002810407,0.0,0.5142094774925481,10.984194480302955,10.984194480302955,0.0,10.34433433784063,0.0,0.5051577524619596,10.84949209030259,0.1347023900003652,0.8126121857156086,0.18371375162537926,0.0,0.0,3.6455734822227244e-11,1,4.169209830706677e-07,4.126835620005393e-08,-8.151041276470947,0.8068197628316119,-139.92777837564483,0.16985348493427316,4.16920255652542e-07,4.1268285900634884e-08,9
13425.0,0.014955293981481481,0.014941636648478838,75.0,12,12,nominal_proxy,8.783139786907038e-05,8.767105398913878e-05,-1.6034387993157296e-07,0.011735133981867284,0.0007013684319131104,0.0007013684319131104,3478.3590152908287,3477.312888254471,-1.046127036357575,7.05887206610772,-1.7549512398760427,-6.3500478625889425,-6.34683818644056,-138.56377618217996,-3.1086244689504383e-13,10.408002349371404,0.0,0.5099651366130247,10.917967485984429,10.917967485984429,0.0,10.320761426259775,0.0,0.5030877548454287,10.823849181105203,0.09411830487922579,0.7613474402181624,0.18381743313013946,0.0,0.0,1.9805184005193417e-11,1,-7.998342139714509e-07,1.1330905502357723e-07,-8.10499990229951,1.1482002943281484,-138.5637769820142,0.16921803703835384,-7.998345239457194e-07,1.1330909893629168e-07,9
13500.0,0.014941636648478838,0.014928085714285715,75.0,12,12,nominal_proxy,8.767105398913878e-05,8.751210407127834e-05,-1.5894991786045926e-07,0.011724491103039685,0.0007000968325702268,0.0007000968325702268,3477.312888254577,3480.02504306169,2.7121548071131656,10.769627219636742,-1.753013040658102,-6.304459371865985,-6.301275340562222,-137.30356266942283,5.098144129078719e-13,10.445624255800073,0.0,0.5113112766122563,10.956935532412329,10.956935532412329,0.0,10.311486891482616,0.0,0.5018536193543413,10.813340510836957,0.14359502157537207,0.8353537719922625,0.1844893371548471,0.0,0.0,4.6531026693974165e-11,1,6.0148383695946e-07,5.5850014554147944e-08,-8.05747181103974,0.748166310376847,-137.303562067939,0.16708268069026366,6.014843467738729e-07,5.5850065011541987e-08,9
13575.0,0.014928085714285715,0.014914630811838624,75.0,12,12,nominal_proxy,8.751210407127834e-05,8.735442327928774e-05,-1.5768079199059747e-07,0.011713923647369047,0.0006988353862343019,0.0006988353862343019,3480.0250430618576,3476.440382981067,-3.5846600807903997,4.437802467946339,-1.7520944578248074,-6.270368090911784,-6.267205438908819,-136.15895966809592,-1.474376176702208e-13,10.336538899402173,0.0,0.5044774812521675,10.841016380654342,10.841016380654342,0.0,10.282450490184983,0.0,0.4993951800890549,10.781845670274038,0.05917071038030386,0.7150552919436873,0.18418939440227416,0.0,0.0,4.7892052441885736e-11,1,-8.105764504051649e-07,1.8265263228950096e-07,-8.022463359313189,1.8077555168203907,-136.15896047867236,0.16746149462719667,-8.105765978427826e-07,1.8265266551260898e-07,9
13650.0,0.014914630811838624,0.014901261574074075,75.0,12,12,nominal_proxy,8.735442327928774e-05,8.719788723855694e-05,-1.565360407308055e-07,0.01170342347258275,0.0006975830979084555,0.0006975830979084555,3476.4403829810894,3476.700415551409,0.2600325703197086,8.238706423780398,-1.7490154920438108,-6.229658361416581,-6.226518561027238,-135.11122236161856,-2.9753977059954195e-13,10.375083995349144,0.0,0.5059396821094915,10.881023677458636,10.881023677458636,0.0,10.273128355648225,0.0,0.4980459055066257,10.77117426115485,0.10984941630378486,0.7645506149150342,0.18459957281209016,0.0,0.0,2.8865813814043116e-11,1,2.009965331950525e-07,2.4396613115730322e-08,-7.978673652464156,0.9684376935785625,-135.11122216062202,0.16556190074961588,2.009962356552819e-07,2.4396577596059147e-08,9
13725.0,0.014901261574074075,0.014887967633928573,75.0,12,12,nominal_proxy,8.719788723855694e-05,8.704237202866994e-05,-1.5551520988700228e-07,0.011692982436408155,0.0006963389762293594,0.0006963389762293594,3476.7004155517016,3474.1820532394813,-2.5183623122202334,5.428872302622697,-1.7466280180392777,-6.200606596803832,-6.197485964673881,-134.1781818029994,1.794120407794253e-13,10.31557430139751,0.0,0.501909923305926,10.817484224703435,10.817484224703435,0.0,10.249138564530067,0.0,0.49596068232110874,10.745099246851176,0.07238497785225917,0.712340597419703,0.18455873059812408,0.0,0.0,2.952703727559974e-11,1,-1.0362967408639179e-06,1.908861519083041e-07,-7.947235651139671,1.4638830481024794,-134.17818283929614,0.16538433527563837,-1.036296561451877e-06,1.908861188605556e-07,9
