scenario,q,hm_mult,pref_mult,exponent_mult,shell,event_time_s,runtime_s,balance_error
41,4,1.1735355662275122,1.0516500256513563,0.9592993395725347,core,169261.67628757187,1.0195183999894653,3.3213877462117695e-10
42,3,0.9116336311424718,0.9725709984632852,0.951012218264293,core,201699.76024653314,1.344195799989393,7.815408005000694e-10
43,4,1.1175818582651071,1.0875878254779219,1.041158239141663,core,187002.2040462805,1.2830815000052098,2.99354887087321e-10
44,3,1.0112163543489758,1.0447341173240128,0.9685598649789788,core,195849.6244500181,1.3095714999944903,4.4005233008914544e-10
45,4,0.803783385179929,1.0846993536957363,0.9919043358685099,core,176231.65288071742,1.1421237000031397,5.73741112123212e-10
46,3,0.8049257249390025,1.0538003843122012,0.9842462855072666,core,207303.92092722087,1.3597283999988576,8.067649123885832e-10
47,4,0.9314941047598566,1.079450445466109,1.0070696384625275,core,179631.0399408177,1.243043199996464,9.472927853201018e-10
48,3,0.8315251311717392,1.0458373603164792,0.9732608319988365,core,202215.98414639937,1.3583091000036802,8.311833875223213e-10
49,4,1.186829665350786,1.0621105591566486,0.9567372700944019,core,167060.60209254245,1.0271631000068737,3.2881517372230893e-10
50,3,0.9787050995745836,0.9796171230603196,1.0012506233872887,core,226891.26363975194,1.020540700003039,4.659971842043958e-10
51,4,1.05172677773232,1.021254587180149,0.9899937671650955,core,182866.76183604775,1.035821900004521,2.253247586529186e-10
52,3,0.9411849677156812,1.0862742485675048,1.0246465020422282,core,220320.80114861895,1.055999599993811,5.907401625530551e-10
53,4,0.9939658995771274,1.0131148371401493,0.9672526885486268,core,178183.00193735003,0.7602547999995295,2.0011934812822356e-10
54,3,0.9043721256790608,1.066014794871861,1.036777166356796,core,232244.93987974082,0.9193737000023248,5.376063723094074e-10
55,4,0.8369624622526639,0.9181466229997305,1.002670489123678,core,206924.86429056898,0.844535000011092,8.879063772670746e-10
56,3,1.1355608407789695,1.0566152399954873,0.9918987039784618,core,204207.66073886928,0.8302800999954343,3.457419271591252e-10
57,4,0.927187056604492,1.019499226041193,1.0454155203885866,core,200703.56873578764,0.8292349000112154,1.2088421938920274e-09
58,3,1.0412174747542364,0.9513400529747401,1.0281969549251144,core,249824.22177023778,0.9412862000026507,3.4578743932805324e-10
59,4,0.8412535013833163,0.9296068031588335,0.9710564494947752,core,194843.50818591184,0.8441090999986045,7.62441076729425e-10
60,3,0.9136641898729347,0.9104108933873389,0.9703136346238902,core,224856.75231582316,0.9853724999993574,5.496173466363023e-10
61,4,0.83623698032044,0.9028493618206802,1.0092481141710936,core,212233.89665280425,0.9806481999985408,9.946683912105913e-10
62,3,1.0216037156427025,1.020672852192123,0.9603477165752504,core,195630.06464802093,0.9224679000035394,3.2025015075520913e-10
63,4,1.070355659986864,1.0568955928050818,1.0335190275287454,core,189795.17303594758,0.8974679999955697,2.5200048059892155e-10
64,3,1.080119271986845,0.9038604361518185,0.9579436751800832,core,216316.39725432478,0.9994008999929065,4.396506097911112e-10
65,4,1.1922474667262433,1.0999427411021852,1.041821503445825,core,185004.75896061573,0.8785475000040606,4.143107221440676e-10
66,3,0.9183148852054276,0.9494516478516304,0.9564343821877862,core,208781.86270067596,1.0843566000112332,6.516435723057275e-10
67,4,0.8544242711673191,0.9559684471510224,0.9739637993252273,core,190797.55886484392,1.078983600003994,7.42255031808459e-10
68,3,0.9020345636570791,1.0223842028719925,0.9796455353971353,core,207751.89083433716,1.1707020999892848,8.947629008605703e-10
69,4,0.8470720461246661,1.0006188071253153,1.030853957614141,core,200181.11159034574,0.9635489000065718,7.258793474163021e-10
70,3,0.9866155168445685,1.0964088867236317,1.004666090908003,core,206421.9495960216,0.9520967999997083,4.118084002037971e-10
71,4,0.9489969678111849,0.9943516358563147,0.9746504219257046,core,183580.19928751618,0.8732872000109637,1.2146786744853545e-09
72,3,0.8619163206201989,1.0097279614757015,1.0311952640952349,core,241383.1815731293,1.0674044000043068,9.078857341252526e-10
73,4,1.063717687578307,1.025622809289107,0.980289974480607,core,179373.54089787218,0.8660926999873482,2.236782761794578e-10
74,3,0.8054025190640294,1.0563762453834122,1.043798942753353,core,241000.19574887026,1.0774230000097305,9.43943790116607e-10
75,4,1.0950202107012652,1.0852860753096782,0.9717214384553611,core,168189.41214037736,0.8208605000108946,2.0298996657309054e-10
76,3,1.114017235706478,1.046497099947885,0.989145701023299,core,204794.94093085182,0.9541181999957189,3.4869927388958476e-10
77,4,0.8427740219120694,1.0783704447242948,1.0160652402566324,core,183203.67280694144,0.8815273999935016,6.637511979903498e-10
78,3,0.8384540214418371,0.9261526734307207,1.0016287098261476,core,242072.25142551458,1.0271182999858866,6.495935351376317e-10
79,4,0.9218101027198681,1.086727165242789,0.9905349792451368,core,174200.31314609636,0.8079990999976872,8.594920856320128e-10
80,3,0.9221321185117685,0.953368032088952,0.9784062162159567,core,220062.59910450346,0.9921655999933137,7.000068303160534e-10
81,4,1.0630923856665362,0.9303123151265252,0.9520565081702305,core,187301.81797017026,0.8724370999989333,3.474146156672971e-10
82,3,1.1974298786657072,1.0903319852533107,0.9904430255228763,core,196879.76180272707,0.9032915999996476,4.183141816006574e-10
83,4,0.9766102448220615,0.9562357974484695,1.0307933160055731,core,207395.0124849043,0.9618317999993451,2.167925687125625e-10
84,3,1.0774159565069101,0.9718635154099284,1.0263153779969714,core,243150.65955356671,1.0686504000041168,3.3307613827308834e-10
