scenario,q,hm_mult,pref_mult,exponent_mult,event_time_s,final_mean_C,balance_error,runtime_s
42,3,0.9027969942567189,0.9670851981559423,0.9412146619171516,197980.6240574739,0.12278920208091296,7.337960301838469e-10,1.2971037999959663
43,4,1.129340044091618,1.1051053905735062,1.0493898869699954,186712.58210088697,0.11866094841398026,2.7594835386240174e-10,1.0709078000072623
44,3,1.0123379897838733,1.0536809407888152,0.9622718379747746,191212.51109825322,0.12323712978262605,4.5800579515336367e-10,1.0253876999922795
45,4,0.7841617236979218,1.1016392244348836,0.9902852030422118,173777.128105645,0.11755676865288102,6.264909236451265e-10,1.1113830999966012
46,3,0.7854182974329028,1.0645604611746415,0.9810955426087198,204533.29211916385,0.12350078911492446,9.06528245866484e-10,1.0930763999931514
47,4,0.9246435152358423,1.0953405345593306,1.0084835661550329,177785.35673793123,0.11794434253392627,9.196558620502131e-10,0.9896459000010509
48,3,0.8146776442889131,1.055004832379775,0.9679129983986039,198567.08038580298,0.12325043307252805,7.957857728288709e-10,1.2821973000100115
49,4,1.2055126318858644,1.0745326709879786,0.9480847241132823,163085.05454731174,0.11690295638697082,3.405532485705806e-10,0.8818039999896428
50,3,0.976575609532042,0.9755405476723834,1.0015007480647462,227952.4205502618,0.1241400720864941,4.6310398516602156e-10,1.3192781000107061
51,4,1.0568994555055522,1.025505504616179,0.9879925205981146,181592.96575983355,0.11758619803167766,2.1930360755478446e-10,1.194518300006166
52,3,0.9353034644872493,1.1035290982810055,1.0295758024506738,220154.96012852946,0.12463849278409773,6.338124737664091e-10,1.4381398000114132
53,4,0.9933624895348401,1.015737804568179,0.9607032262583521,176007.70405375326,0.11713233102759675,1.9985895524918283e-10,1.2474592000071425
54,3,0.8948093382469668,1.079217753846233,1.0441325996281552,234404.4959290053,0.12490222600210592,5.680278722537473e-10,1.4316988000064157
55,4,0.8206587084779303,0.9017759475996765,1.0032045869484136,210627.87788018174,0.11783555683470785,8.601052876011486e-10,1.3732388999924297
56,3,1.1491169248568665,1.067938287994585,0.9902784447741542,201167.2104128745,0.12391983923528067,3.5361646728361885e-10,1.1816301999933785
57,4,0.9199057622649411,1.0233990712494316,1.054498624466304,202979.42402729587,0.1187557299089341,1.1713558634336579e-09,1.0850011999864364
58,3,1.04533922222966,0.9416080635696881,1.0338363459101374,256154.6167732848,0.12486130468328327,3.54595974138751e-10,1.4391768999921624
59,4,0.8253788515216479,0.9155281637906002,0.9652677393937302,195930.44817919764,0.11715620364557638,7.116347570837289e-10,1.195113699999638
60,3,0.9050306088602282,0.8924930720648068,0.9643763615486682,225627.6030030371,0.12330494244028033,4.881868990045466e-10,1.276588200009428
61,4,0.819860678352484,0.8834192341848163,1.0110977370053122,217216.31218946184,0.1179771822510191,9.905154085710253e-10,1.2486798000027193
62,3,1.0237640872069727,1.0248074226305475,0.9524172598903005,190945.55124946995,0.12304990312887312,3.710880583747572e-10,1.1922797999868635
63,4,1.0773912259855503,1.0682747113660982,1.0402228330344945,189952.13178398952,0.11848525325156946,2.3795607935868587e-10,1.1681677000015043
64,3,1.0881311991855296,0.8846325233821822,0.9495324102160998,215700.93113306057,0.12307121992703438,4.6528891634177797e-10,1.2793349999992643
65,4,1.2114722133988676,1.119931289322622,1.0501858041349899,184404.4810296914,0.11871120021715631,4.807602551506877e-10,1.148437700001523
66,3,0.9101463737259703,0.9393419774219565,0.9477212586253434,206343.82070019902,0.122950459267845,6.900517425826454e-10,1.2585880999977235
67,4,0.839866698284051,0.9471621365812268,0.9687565591902728,191000.8401589318,0.11726899249727941,6.806019751952269e-10,1.1793374999979278
68,3,0.892238020022787,1.026861043446391,0.9755746424765623,205036.9869302011,0.12347449060379341,9.304576535964893e-10,1.0911039999919012
69,4,0.8317792507371328,1.0007425685503781,1.0370247491369688,202267.09725441659,0.11841034555567806,6.720513689111528e-10,1.0069971999910194
70,3,0.9852770685290253,1.1156906640683582,1.0055993090896034,203709.6536453553,0.1241072756411831,6.643099241711258e-10,0.9584887999953935
71,4,0.9438966645923035,0.9932219630275776,0.9695805063108455,182382.4491732387,0.11731663870218621,1.1570658664715898e-09,0.923338499997044
72,3,0.8481079526822187,1.011673553770842,1.037434316914282,245321.66878387574,0.12479066948868066,9.035500991392224e-10,1.158812100009527
73,4,1.0700894563361376,1.0307473711469284,0.9763479693767284,177455.339655592,0.11739982562181907,2.1724706994207091e-10,0.8166368999955012
74,3,0.7859427709704323,1.0676514944600948,1.0525587313040237,244846.40642082013,0.12499599823381218,9.412207461024755e-10,1.0288448999926914
75,4,1.1045222317713916,1.102343290371614,0.9660657261464333,164410.67105540814,0.11714594590849148,2.0097911250857798e-10,0.7834860999864759
76,3,1.1254189592771255,1.055796519937462,0.9869748412279588,201813.7846554118,0.12385431393661409,3.4675830020841433e-10,0.9220314999984112
77,4,0.8270514241032763,1.0940445336691536,1.0192782883079587,181992.51539841463,0.1181157423126152,6.464308643634644e-10,0.8834115000063321
78,3,0.8222994235860208,0.9113832081168648,1.001954451791377,246258.42667085206,0.12409404774588531,5.919720882320463e-10,1.1151684999931604
79,4,0.913991112991855,1.1040725982913469,0.9886419750941642,171394.34434994013,0.11755784540404869,8.352700279742415e-10,1.1265623999934178
80,3,0.9143453303629453,0.9440416385067425,0.9740874594591481,219716.13565483643,0.12350686180046559,6.597589345414395e-10,1.3116731000045547
81,4,1.0694016242331896,0.9163747781518302,0.9424678098042766,187009.99270837413,0.11679531404072711,3.503576264471718e-10,1.166664899996249
82,3,1.2171728665322779,1.108398382303973,0.9885316306274515,192705.27516045593,0.12387808891874584,3.072092263826665e-10,1.2036036000063177
83,4,0.9742712693042677,0.9474829569381634,1.0369519792066877,211210.64927477494,0.1184348293435035,2.1670395717223427e-10,1.2866104999993695
84,3,1.0851575521576011,0.9662362184919141,1.0315784535963657,247965.52730435733,0.12480568750363083,3.366166382075384e-10,1.3799651000008453
85,4,1.0931346405468159,0.9938331541899706,0.9542130872461663,177007.54554934657,0.11695672762437005,3.026257212317319e-10,1.0534090000001015
86,3,1.0382726102602604,0.9388788478472351,0.9986579037367793,233423.7703920286,0.12408907615145127,9.087507325921091e-10,1.2315125999884913
87,4,1.156949535823898,0.931128008618225,1.0588238956672618,221519.0056792256,0.11887093591900982,4.988522314376534e-10,1.3610934000025736
88,3,1.1186467249095287,1.0490892492513604,0.9872673792846846,203249.02647209843,0.12384756428191795,3.4622158285613433e-10,1.280131599996821
89,4,0.8128861022460856,1.0681338009828683,0.9994300680344067,180494.1226014809,0.11777426701836842,5.549852505421968e-10,1.284929799992824
90,3,0.9623325305232824,1.0229432963385543,1.0018891233128806,218724.22548489677,0.12407142910445658,4.4834660883377067e-10,1.3164481999992859
91,4,0.8374243089898178,1.0369581121731746,0.9496689277695892,171569.13518754498,0.11693389480156753,5.121367907391839e-10,1.158237800002098
92,3,1.1188958775338074,1.101416798722017,0.9452872895925859,174260.93902312074,0.12292709550043233,3.759180421148746e-10,0.9752585999958683
93,4,1.2128818462511528,0.8960441018247256,0.9708905850567204,198906.46916694826,0.1172977642473332,4.683051899967819e-10,0.9646194000088144
94,3,0.8963379866515367,1.034917051908496,1.0376437087225632,239345.0437334464,0.12481702281124873,4.667914940604123e-10,1.0565222000004724
95,4,1.031505973319693,1.0208458737006836,0.9548065298258903,173386.58704561432,0.11705865964031048,2.1275978870625242e-10,0.9604254000005312
96,3,0.9056879072827873,1.0880320761757312,0.9682880587152253,190960.31746528714,0.12328805174699384,5.004239601411292e-10,1.0678969000000507
97,4,0.8736615045488207,1.1059602964684374,1.057595729784137,190725.78079800378,0.11879197698906413,8.691267651368285e-10,0.9935304999962682
98,3,1.1904445160655,0.9397021930702324,1.0319228394388344,253831.4425402321,0.12483949844619673,3.384225727120186e-10,1.141840999989654
99,4,1.2011493957308492,1.053991489478817,0.9534410668011849,167286.7410967233,0.11700496555695034,3.3991572172902297e-10,1.031351800003904
100,3,0.9172999056132328,1.0134781216997142,0.9661718698440217,201943.82574603875,0.12327357922959584,8.597161203216758e-10,1.140422900003614
101,4,1.2176600465449585,0.9323417557384016,0.9718970590154629,192147.17601323058,0.11735264451663265,4.853853659297243e-10,0.9537618000031216
102,3,0.7994084634030764,1.0584344163945953,1.023623425261885,228417.37038026945,0.12441700327565887,8.891449019419999e-10,1.3115539999998873
103,4,1.0430913639801254,0.8916490784457678,0.9461075105464035,192893.8689718649,0.11692727016247145,3.48826681814465e-10,1.2674048000044422
104,3,0.917045201015359,0.9969928778446072,0.9551728046877821,199271.71360641473,0.12304545234664058,8.61788114197266e-10,1.3028514999896288
105,4,1.2135989927711228,1.0864637702138105,1.0392617520856462,186239.4433075182,0.11854119263014803,4.3813526958160514e-10,1.1567111999902409
106,3,0.8787469057574232,1.0197151372661366,0.9570925813631735,197238.2050188244,0.12305924294226371,8.410399918818277e-10,1.2460201000067173
107,4,1.1465067934315596,1.109135768279381,0.9891116760911942,169196.52730402953,0.11767165928031521,2.8452636039545237e-10,1.1202513000025647
108,3,0.8059676211136813,0.895495801113743,0.993512521376107,245191.01169755985,0.12388334609256141,5.7247728869288e-10,1.4810505000059493
109,4,1.1952336068919907,1.020248551735073,0.9810933566518268,179808.26626581393,0.11748351977710539,3.775863813724206e-10,1.1648860999994213
110,3,0.966300000831421,1.0143982374467264,0.9961885582104735,217042.82167616714,0.12397908812062793,4.479287336347164e-10,1.130913299988606
111,4,0.8484487644896194,0.8964557380084172,1.0278808830740223,219842.38341842397,0.1183344372722985,1.22680083669582e-09,1.0373854999925243
112,3,0.8197332392873656,0.9420295796503657,0.9825272216657714,227361.29814084218,0.12365386023030597,6.188002806360646e-10,1.2176754000101937
113,4,1.1607880734758642,0.9777678421082964,1.0222064174979426,199597.6919108032,0.11821807923978485,3.8446765531866866e-10,0.8876173000026029
114,3,0.7848536701172965,1.024129890135708,1.0245233337749196,236219.8954710816,0.1244472308839855,7.887063570074556e-10,0.9307047000038438
115,4,0.8486604946673542,1.0519355697868302,0.9725261494791184,175185.6491106508,0.11734470268235703,5.828854028646162e-10,0.7581188000040129
116,3,1.1745631132504282,1.0084570746131165,0.9947718496061884,214474.0530295367,0.12407448789113923,3.530141838722287e-10,0.837695199996233
117,4,1.0851832913104946,0.9802898528988195,0.9897771568011353,189446.07174615446,0.11765022338743605,3.2026611666551005e-10,0.7796009000012418
118,3,1.2071462405705788,1.0972698823531752,1.032915228537633,219549.91517059784,0.1248368720555957,3.297176160944555e-10,0.861580299999332
119,4,0.948832981008014,0.8980415456854501,1.0380909752465202,222317.81738954195,0.11846754478846805,2.061383052644524e-10,0.8805733000044711
