label,group,time_s,radius_m,length_m,volume_half_m3,max_C,min_C,mean_C,center_C,side_surface_C,end_surface_C,center_T_C,side_surface_T_C,end_surface_T_C,hm_effective_m_s,hrad_W_m2K
length-A-no-axial-shrink,length_sensitivity,36000.0,0.012729999999999998,0.25,6.363802501661517e-05,0.9444838798931465,0.0741210207018293,0.5794066486418991,0.9444838798931465,0.2111352857312653,0.1160245077274882,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,39600.0,0.0126,0.25,6.234490621048945e-05,0.8270751843640879,0.07068702300402266,0.5117798311198468,0.8270751843640879,0.18169736628320157,0.1020787790917925,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,43200.0,0.01248,0.25,6.116303905420896e-05,0.7297125321147896,0.06807398951154553,0.45596170607519193,0.7297125321147896,0.1577573699758295,0.09151606295719673,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,46800.0,0.0124,0.25,6.0381410801995824e-05,0.649141497599033,0.06602802230404932,0.409949274696859,0.649141497599033,0.13830508709169426,0.08348784180099325,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,50400.0,0.01233,0.25,5.970160942166717e-05,0.5823230967306323,0.06438692703296524,0.3719210537197215,0.5823230967306323,0.12274575149449116,0.0773499747970229,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,54000.0,0.01226,0.25,5.9025656492339154e-05,0.5266567057488903,0.06304176307903396,0.34031151965583756,0.5266567057488903,0.11036710480052184,0.07261461023603111,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,57600.0,0.01221,0.25,5.8545189165880764e-05,0.480053240794555,0.06191817292311705,0.3138609799383583,0.480053240794555,0.10045179730380463,0.06892239429038359,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,61200.0,0.01218,0.25,5.82578512478018e-05,0.4408828661789751,0.060964983845849294,0.2915985709680364,0.4408828661789751,0.09248852724581764,0.06601375849793631,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,64800.0,0.01214,0.25,5.787583358112528e-05,0.407741466201656,0.06014575299630976,0.27271085524703564,0.407741466201656,0.08613646411721575,0.06369736489760817,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,68400.0,0.012119999999999999,0.25,5.768529598668506e-05,0.37948875413657907,0.05943368788099674,0.2565415118030119,0.37948875413657907,0.08097091655236988,0.061830781836741816,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,72000.0,0.0121,0.25,5.74950725515102e-05,0.35525264661833156,0.05880871087381148,0.24259891106931653,0.35525264661833156,0.07677352676140198,0.060310813472729714,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,75600.0,0.01208,0.25,5.73051632756007e-05,0.3343000418117049,0.05825544289036533,0.2304740537875133,0.3343000418117049,0.0733346633292672,0.05905999022161436,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,79200.0,0.01206,0.25,5.711556815895656e-05,0.31605087510871566,0.0577619072662365,0.21984601130978684,0.31605087510871566,0.07049210905286428,0.05802027391142751,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,82800.0,0.01205,0.25,5.702088841035899e-05,0.30006621167731695,0.05731892449859532,0.21047354625814332,0.30006621167731695,0.06810822707483673,0.0571482331562404,49.99893442622948,49.99893442622948,49.998934426229425,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,86400.0,0.01204,0.25,5.692628720157776e-05,0.2859752418300784,0.05691901619572817,0.20215500890840485,0.2859752418300784,0.06610735098972151,0.05641074152980232,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,90000.0,0.01203,0.25,5.6831764532612896e-05,0.2734751003033043,0.056556132633571045,0.1947251577239121,0.2734751003033043,0.06441431824177127,0.05578205042320785,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,93600.0,0.01203,0.25,5.6831764532612896e-05,0.2623254325644998,0.05622537371657493,0.18805293186907426,0.2623254325644998,0.06296201123439696,0.055242148003722194,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,97200.0,0.01202,0.25,5.673732040346435e-05,0.2523330594307139,0.05592271876630076,0.1820338202054414,0.2523330594307139,0.06172412909935234,0.05477546403211592,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,100800.0,0.01202,0.25,5.673732040346435e-05,0.24332438838185955,0.05564464701164512,0.17657231969309942,0.24332438838185955,0.06064812692095757,0.05436938778523799,49.99893442622948,49.998934426229425,49.998934426229425,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,104400.0,0.01202,0.25,5.673732040346435e-05,0.23517355082900324,0.055388412748764354,0.17160002034888946,0.23517355082900324,0.05971294146903099,0.0540140519961386,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,108000.0,0.01201,0.25,5.6642954814132135e-05,0.2277565555001058,0.05515141322459529,0.16704862833637993,0.2277565555001058,0.05890295660511731,0.05370133894143005,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,111600.0,0.01201,0.25,5.6642954814132135e-05,0.22098526968379106,0.054931665323945285,0.16286928259940625,0.22098526968379106,0.05818469531091735,0.05342471682134789,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,115200.0,0.01201,0.25,5.6642954814132135e-05,0.2147818725141542,0.05472739775515625,0.1590192999695971,0.2147818725141542,0.05755087158630412,0.05317889939874332,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,118800.0,0.01201,0.25,5.6642954814132135e-05,0.20907802193055222,0.05453705380331944,0.155460642854243,0.20907802193055222,0.05698901846772458,0.052959490872295234,49.99893442622948,49.998934426229425,49.998934426229425,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,122400.0,0.01201,0.25,5.6642954814132135e-05,0.20381568340205103,0.05435928022112031,0.15216084858078108,0.20381568340205103,0.05648872038983485,0.05276283638916646,49.99893442622948,49.99893442622948,49.998934426229425,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,126000.0,0.012,0.25,5.654866776461627e-05,0.19894328755817542,0.05419285693231,0.14909091599071278,0.19894328755817542,0.05604566875977206,0.05258587104979127,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,129600.0,0.012,0.25,5.654866776461627e-05,0.1944152200403922,0.05403668836594761,0.146224758140097,0.1944152200403922,0.05564373299079783,0.05242598518112799,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,133200.0,0.012,0.25,5.654866776461627e-05,0.1902008710741921,0.05388995943926917,0.1435452939448048,0.1902008710741921,0.055281069544515435,0.052281064449105734,49.99893442622948,49.99893442622948,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,136800.0,0.012,0.25,5.654866776461627e-05,0.18626830421147442,0.0537518588840112,0.14103442239112401,0.18626830421147442,0.05495318322600673,0.05214929382229345,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,140400.0,0.012,0.25,5.654866776461627e-05,0.18258972639354415,0.05362166885384735,0.13867623522815714,0.18258972639354415,0.0546557915510901,0.052029118813235395,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,144000.0,0.012,0.25,5.654866776461627e-05,0.17914084832856111,0.05349874870496648,0.13645676319061953,0.17914084832856111,0.05438522144510772,0.051919205141603204,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,147600.0,0.012,0.25,5.654866776461627e-05,0.17590035760018813,0.05338252475965396,0.13436369469871462,0.17590035760018813,0.054138333101570374,0.05181840380072591,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,151200.0,0.012,0.25,5.654866776461627e-05,0.1728494823558365,0.05327248197051633,0.1323861382244244,0.1728494823558365,0.053912431132349545,0.051725721720371695,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,154800.0,0.012,0.25,5.654866776461627e-05,0.16997162834095536,0.05316815672242335,0.13051442411960731,0.16997162834095536,0.053705191451340596,0.05164029739925021,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,158400.0,0.012,0.25,5.654866776461627e-05,0.16725207557235813,0.05306913059485085,0.12873993858297542,0.16725207557235813,0.0535146018507409,0.05156138072025192,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,162000.0,0.012,0.25,5.654866776461627e-05,0.16467772245046455,0.05297502497452292,0.12705498391832004,0.16467772245046455,0.053338913476718534,0.05148831622442558,49.99893442622948,49.998934426229425,49.99893442622954,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,165600.0,0.012,0.25,5.654866776461627e-05,0.16223687565293016,0.05288549641161504,0.12545266002928826,0.16223687565293016,0.05317660039851186,0.05142052916607092,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,169200.0,0.012,0.25,5.654866776461627e-05,0.15991906250616897,0.05280023259925258,0.12392676401057702,0.15991906250616897,0.05302632697824676,0.05135751392452023,49.99893442622948,49.99893442622948,49.99893442622948,8e-07,0.0
length-A-no-axial-shrink,length_sensitivity,172800.0,0.012,0.25,5.654866776461627e-05,0.1577148787876424,0.05271894890311397,0.12247170444171883,0.1577148787876424,0.052886920038560006,0.05129882429380344,49.99893442622948,49.998934426229425,49.99893442622948,8e-07,0.0
