case_id,candidate,question,axis,space_level,time_level,nr,nz,dt_s,duration_s,fixed_variable,threshold_C,status,threshold_status,failure_reason,runtime_s,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,normalized_moisture_balance_error,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J,latent_integral_J_est,latent_peak_power_W,water_balance_max_abs_kg_s,latent_mass_closure,recorded_temperature_min_C,recorded_temperature_max_C,recorded_temperature_range_C,final_field_temperature_min_C,final_field_temperature_max_C,final_field_temperature_range_C
Q3-space-H,nominal_proxy,Q3,space,H,M,18,18,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,19.25433769999654,237420.0,237415.44380091064,237420.0,0.14994671394956102,0.12206202128468983,4.999999339731119e-11,5.583227592780763e-10,8.506420906828878e-08,3.6790102058148477e-06,590231.0921407096,44.65403980854068,1.7884512840409157e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2392602145440605,49.868025574835315,52.107285789379375,49.864759863483414,49.95153138861957,0.08677152513615738
Q3-space-X,nominal_proxy,Q3,space,X,M,27,27,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,35.8619813999976,235980.0,235935.17279691604,235980.0,0.1499517812995317,0.12166619767351446,4.999606656196313e-11,6.515772386662052e-10,5.374106395446995e-08,3.0521943892303227e-06,590213.8030401849,44.75648607778523,1.370871664341071e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.1921475168886673,49.86460281599875,52.05675033288742,49.86472293599331,49.952972918491525,0.08824998249821192
Q3-time-L,nominal_proxy,Q3,time,M,L,12,12,600.0,259200.0,grid=M,0.149999,PASS,REACHED,,12.813795800000662,241800.0,241740.08016494435,241800.0,0.14998244163776456,0.1227422152843491,4.999976454058606e-11,2.650354835062004e-10,1.5685703147004605e-07,5.300100197835889e-06,586613.0697624828,41.46110573987255,4.81230588147627e-15,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-1.9486243100654406,49.86944210366448,51.81806641372992,49.86537577647209,49.950471312323884,0.08509553585179219
Q3-time-M,nominal_proxy,Q3,time,M,M,12,12,300.0,259200.0,grid=M,0.149999,PASS,REACHED,,13.139882699993905,240900.0,240859.60296160428,240900.0,0.14998783501419963,0.12274487040200069,4.9984291050589546e-11,1.0564068848134074e-09,1.244797000914873e-07,4.380029764661231e-06,590307.5056294391,44.41832263691597,2.199286149788364e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2850129696085446,49.86662373633942,52.151636705947965,49.865563475721785,49.95053517608113,0.08497170035934687
Q3-time-H,nominal_proxy,Q3,time,M,H,12,12,150.0,259200.0,grid=M,0.149999,PASS,REACHED,,19.398341599997366,240480.0,240420.53948772664,240480.0,0.14999085699905815,0.12274636673366837,4.9998646353873225e-11,1.3576877502601696e-09,1.250712409487215e-07,3.890478637913475e-06,592390.4870551198,46.64162391910713,3.992732217712649e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.4330081025206027,49.86722117855385,52.30022928107445,49.86565549439081,49.95056685501578,0.08491136062497162
Q3-time-X,nominal_proxy,Q3,time,M,X,12,12,75.0,259200.0,grid=M,0.149999,PASS,REACHED,,29.417896600003587,240240.0,240202.00587430436,240240.0,0.1499926440203484,0.12274728626230189,5.0000067978773016e-11,2.059222979123877e-09,1.1635591913438398e-07,3.5849614441474387e-06,593528.1454082022,48.24484891307714,7.047216881773434e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.493108202273959,49.86751726846751,52.36062547074147,49.865700301342656,49.950582370674226,0.08488206933157016
Q4-space-L,nominal_proxy,Q4,space,L,M,8,8,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,10.9039929999999,250920.0,250897.32003276935,250920.0,0.14990173305482765,0.11721582381773198,5.0000062389614876e-11,6.431478342831645e-10,4.3614697538747e-08,3.214798425688059e-06,750854.5300191601,41.77530500052098,1.4666303483907694e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.7567348799306615,49.516413734235186,47.759678854304525,49.52900605324089,49.83724529771854,0.3082392444776474
Q4-space-M,nominal_proxy,Q4,space,M,M,12,12,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,14.885844599994016,246360.0,246336.21787802817,246360.0,0.14986862960211755,0.11646673112127366,4.9997782146809367e-11,5.387376525696997e-10,5.345503778362657e-08,3.297541070423904e-06,750360.4639479689,44.80059955390941,1.659095461654849e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9367029391270307,49.52298042538291,47.58627748625588,49.53090296179204,49.851896428609905,0.32099346681786756
Q4-space-H,nominal_proxy,Q4,space,H,M,18,18,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,24.492656300004455,244320.0,244281.47612926477,244320.0,0.14988962783165438,0.11607588583513537,4.999655482610866e-11,1.1448899509463529e-09,5.2137841656613666e-08,3.459890649537556e-06,749833.2124681805,46.32515489073606,1.7635004039202352e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.165762976823146,49.51755559861118,47.351792621788036,49.53374029291109,49.859491534893436,0.3257512419823456
Q4-space-X,nominal_proxy,Q4,space,X,M,27,27,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,181.1451498999959,243300.0,243274.51693605547,243300.0,0.14998614934783083,0.11590857106184567,5.0009072924509305e-11,7.862305002680857e-10,4.534708365238442e-08,2.3827465156500693e-06,749396.9706773926,46.99259905244198,6.9546554929897364e-15,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.342514216665677,49.525796800274065,47.18328258360839,49.53526101309103,49.865782477246285,0.33052146415525385
Q4-time-L,nominal_proxy,Q4,time,M,L,12,12,600.0,259200.0,grid=M,0.149999,PASS,REACHED,,10.470643399996334,247140.0,247113.81721474492,247140.0,0.14995631367917805,0.11652623781923031,4.9998293959147565e-11,6.180791519205948e-10,3.713247789238587e-08,4.288672251107073e-06,748583.9337130069,40.71006973442931,4.581136190610468e-15,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.017515959365312,49.51789206687289,47.50037610750758,49.529181215557855,49.85137933776059,0.32219812220273525
Q4-time-M,nominal_proxy,Q4,time,M,M,12,12,300.0,259200.0,grid=M,0.149999,PASS,REACHED,,20.103243099991232,246360.0,246336.21787802817,246360.0,0.14986862960211755,0.11646673112127366,4.9997782146809367e-11,5.387376525696997e-10,5.345503778362657e-08,3.297541070423904e-06,750360.4639479689,44.80059955390941,1.659095461654849e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9367029391270307,49.52298042538291,47.58627748625588,49.53090296179204,49.851896428609905,0.32099346681786756
Q4-time-H,nominal_proxy,Q4,time,M,H,12,12,150.0,259200.0,grid=M,0.149999,PASS,REACHED,,46.057677899996634,245940.0,245936.76671316728,245940.0,0.1499676732905679,0.1165301924258947,4.9998493352562133e-11,1.8703558812777963e-09,5.238992728245454e-08,2.3902789507701527e-06,751264.570934705,48.01380649859811,2.407303889106864e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9311343635638423,49.52555037845599,47.59441601489215,49.53019882802084,49.851717456083236,0.3215186280623925
Q4-time-X,nominal_proxy,Q4,time,M,X,12,12,75.0,259200.0,grid=M,0.149999,PASS,REACHED,,34.97918439999921,245760.0,245733.6278702113,245760.0,0.14997849841118482,0.11653657084274038,4.999909006887994e-11,1.851248421362958e-09,6.283704831723784e-08,2.929903473614104e-06,751748.5894584493,50.26948212667594,5.668100368130379e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9509575804548263,49.526844871476214,47.57588729102139,49.53026623580092,49.851748031922,0.32148179612107697
