scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
nominal_proxy,Q4,M,3000.0,-1279.3807670420408,271.2253438851817,-1550.6061109272225,274.001110008853,16.100493110110236,15.196408622741941,4.346986831473043e-11,-2.3253066956385737e-06,4.814152129246293e-10
nominal_proxy,Q4,M,3300.0,-1255.2516500480676,324.10451128235377,-1579.3561613304214,274.63886545011184,15.966671662055482,14.886323286798168,2.9750782800496263e-11,-1.2948403309565037e-06,2.70321487650986e-10
nominal_proxy,Q4,M,3600.0,-1384.124701362185,307.9231613897899,-1692.0478627519751,275.4133046073717,15.744711117711436,14.718300574864204,3.200449716001706e-11,-1.4643796930613462e-06,3.1002573543866545e-10
nominal_proxy,Q4,M,3900.0,-1537.04369877436,292.78260986597934,-1829.8263086403394,276.16179641835527,15.50362094671228,14.527678904968667,4.743919117523062e-11,-2.6571044600132154e-06,5.71286855964377e-10
nominal_proxy,Q4,M,4200.0,-1644.4161404646366,261.28768820311643,-1905.703828667753,276.88694439014165,15.235416599289582,14.364457630781859,4.6036290502479536e-11,-2.3492007130698767e-06,5.139780059530104e-10
nominal_proxy,Q4,M,4500.0,-1687.9910597075186,245.0475785285588,-1933.0386382360775,277.5469320756327,15.013184252752184,14.196358986745842,2.932578418595038e-11,-1.2733437415590743e-06,2.8271678193466245e-10
nominal_proxy,Q4,M,4800.0,-1681.9745370998078,231.67414961335135,-1913.6486867131591,278.1786071874924,14.830606898715269,14.058359725412421,4.2866579162389325e-11,-2.377503051320673e-06,5.343685680021248e-10
nominal_proxy,Q4,M,5100.0,-1666.6533892989353,182.58335483178297,-1849.2367441307183,278.78815386223147,14.549192198431326,13.940581007335938,3.070376576673126e-11,-2.4968335310404655e-06,5.720440230144807e-10
nominal_proxy,Q4,M,5400.0,-1567.9783334509625,172.81924803475982,-1740.7975814857223,279.2781819721895,14.346161219496613,13.77009705019629,3.381363005410769e-11,-2.7553373911359813e-06,6.402031756043196e-10
nominal_proxy,Q4,M,5700.0,-1540.5733050938784,167.14080083954462,-1707.714105933423,279.7511288961667,14.196968040703686,13.6398320279809,3.758841355383546e-11,-2.977291160277673e-06,6.990438971996401e-10
nominal_proxy,Q4,M,6000.0,-1579.2560820637443,147.90340587803271,-1727.1594879417771,280.21749583621005,14.029377018725283,13.5363656582281,3.474541954000021e-11,-2.271122184538399e-06,5.396110797856735e-10
nominal_proxy,Q4,M,6300.0,-1554.921486407383,117.08843358535567,-1672.0099199927388,280.63840306835766,13.821341248139461,13.431046466720602,3.455523990270604e-11,-8.403021638514474e-07,2.0265813299524832e-10
nominal_proxy,Q4,M,6600.0,-1448.28040219317,96.50097638001553,-1544.7813785731855,280.97810680515283,13.617801015025467,13.296131093639156,2.4341575456607325e-11,-3.587774699553847e-08,8.782070603996454e-12
nominal_proxy,Q4,M,6900.0,-1241.4090553492522,106.74793862056049,-1348.1569939698127,281.2632679663211,13.48931225386194,13.133485787909443,3.114118088995528e-11,-1.1651884506136412e-06,2.879288008870509e-10
nominal_proxy,Q4,M,7200.0,-996.8200264207167,87.68683516313895,-1084.5068615838557,281.58411646251665,13.30595333436168,13.013663883468153,3.0197498412226944e-11,-1.0491908142284956e-07,2.6283744022034474e-11
nominal_proxy,Q4,M,7500.0,-758.0644334643193,92.10110713482777,-850.1655405991471,281.8513140694148,13.142769537981655,12.835765845971686,2.6962421810469346e-11,-4.681629661718034e-07,1.1873777563114233e-10
nominal_proxy,Q4,M,7800.0,-636.8157720287647,82.93501533613124,-719.750787364896,282.1352771898777,12.96768384954206,12.691233798136077,3.043747960598205e-11,-8.566394171793945e-08,2.2019851478968255e-11
nominal_proxy,Q4,M,8100.0,-547.4093568737902,86.3477637853351,-633.7571206591253,282.39356208341076,12.810841293701495,12.52301541300753,3.398486727531993e-11,-4.2285455492674373e-07,1.1002518498001688e-10
nominal_proxy,Q4,M,8400.0,-489.2086268215206,102.13954036948519,-591.3481671910058,282.66501546153523,12.722824198453687,12.382359059874993,3.726532260561278e-11,-1.204122781928163e-06,3.154757578836179e-10
nominal_proxy,Q4,M,8700.0,-506.5224083827484,85.30093145949435,-591.8233398422427,282.9890478922889,12.570132355529198,12.285795915395283,3.798109324306984e-11,-5.806800800201017e-07,1.539840800389237e-10
nominal_proxy,Q4,M,9000.0,-530.5973744949688,103.64526277460544,-634.2426372695743,283.2619897980916,12.505094648745636,12.159610436154537,4.150682269387543e-11,-1.0027242751675658e-06,2.672842025145187e-10
nominal_proxy,Q4,M,9300.0,-582.4502644789052,82.18746228454826,-664.6377267634534,283.59687534751856,12.360320458797254,12.086362250395736,3.63100103332888e-11,-2.3590735054312972e-07,6.361953460390167e-11
nominal_proxy,Q4,M,9600.0,-597.8361977473802,61.001832662000204,-658.8380304093804,283.86494363445274,12.18024948797855,11.976910044456076,3.7366988859226865e-11,-3.947418463212671e-07,1.0802784915882675e-10
nominal_proxy,Q4,M,9900.0,-587.0490466070183,71.41023325319084,-658.4592798602092,284.06577267103313,12.090084378343771,11.852050267892805,3.792766342070674e-11,1.1790098142228089e-07,3.250624719473139e-11
nominal_proxy,Q4,M,10200.0,-601.4122817051979,62.22589473873844,-663.6381764439363,284.303298974039,11.968635538066902,11.761215889348922,3.6474238311990544e-11,1.2334430721239187e-07,3.435209380386721e-11
nominal_proxy,Q4,M,10500.0,-623.172801602514,50.940526554412,-674.1133281569261,284.51229957042267,11.836930173712656,11.667128417482896,4.073511406897278e-11,-3.1451577342522796e-07,8.856907120612e-11
nominal_proxy,Q4,M,10800.0,-614.3512330357755,75.39649774543733,-689.7477307812128,284.68508045263906,11.81237999998465,11.561058342930163,4.3662034231762823e-11,6.290913461270975e-07,1.7752317092404044e-10
nominal_proxy,Q4,M,11100.0,-673.7091259378832,50.55014815394716,-724.2592740918303,284.9436909246925,11.687190751193459,11.518690256360621,3.279245563331701e-11,-2.959042149086599e-07,8.439559206545369e-11
nominal_proxy,Q4,M,11400.0,-702.5227191354305,55.65333024311144,-758.176049378542,285.1188404320593,11.609235141366591,11.423724042327255,4.097352880444546e-11,5.313104338711128e-07,1.525539588098908e-10
nominal_proxy,Q4,M,11700.0,-746.9190326718051,22.186563709585933,-769.105596381391,285.313939926561,11.444117935821508,11.370162725742539,2.069989630951042e-11,6.858952019683784e-07,1.9978100127211534e-10
nominal_proxy,Q4,M,12000.0,-709.7034108284047,47.49213961812853,-757.1955504465333,285.39240789321224,11.406332551007289,11.24802542228145,3.5342300067075876e-11,1.000377210402803e-06,2.923455621191932e-10
nominal_proxy,Q4,M,12300.0,-701.2275042372809,22.306261626363245,-723.5337658636441,285.5627882895739,11.264978852893861,11.190624650972376,3.6537668971432305e-11,1.0499176141820499e-06,3.106730537454838e-10
nominal_proxy,Q4,M,12600.0,-626.5080304189786,41.63931036212798,-668.1473407811065,285.64353082216144,11.221547287731912,11.082749589629973,3.4548644291338316e-11,9.315461966252769e-07,2.767135323794134e-10
nominal_proxy,Q4,M,12900.0,-578.8800049205818,35.942956538532606,-614.8229614591144,285.7961846226099,11.142730431024857,11.022920575397542,3.91054656504908e-11,-1.496619006502442e-07,4.4771163159297276e-11
nominal_proxy,Q4,M,13200.0,-561.2251680188272,21.05909389487438,-582.2842619137016,285.9292270289121,11.023316110363307,10.953119133783332,2.0288294379745073e-11,9.208818028128007e-07,2.784648447566686e-10
nominal_proxy,Q4,M,13500.0,-510.6592422648756,46.135860307678726,-556.7951025725544,286.0077974125499,10.997896370653066,10.844110175547431,4.162729385979941e-11,1.775988266672357e-06,5.382812030039454e-10
nominal_proxy,Q4,M,13800.0,-524.0955270376317,14.410908658913272,-538.5064356965449,286.18196177440245,10.850659972110252,10.802623608317592,4.085890789945761e-11,-4.788846581504913e-07,1.4711383436011623e-10
nominal_proxy,Q4,M,14100.0,-483.325735075883,43.54341729701778,-526.8691523729008,286.2366327953539,10.833162065512319,10.68801734807048,4.4398461135682933e-11,2.0644658889068523e-06,6.352303160801463e-10
nominal_proxy,Q4,M,14400.0,-488.66136675176244,33.527062045203245,-522.1884287969657,286.404028878611,10.762794306521087,10.651037432245923,2.912443941902043e-11,-2.3734594378765905e-07,7.350815442784319e-11
nominal_proxy,Q4,M,14700.0,-499.5220502463699,23.073196510597107,-522.595246756967,286.53400872731925,10.657488552978915,10.580577896630096,1.9779070917649073e-11,-3.9404847029800294e-07,1.2324619392870032e-10
