time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
3600.0,fixed-domain-moisture,650.0,-7.263100277984721e-06,7.263100277984721e-06,-7.263100279055741e-06,1.071020645760333e-15,3.8625005734879956e-13
3630.0,fixed-domain-moisture,650.0,-7.254790981415145e-06,7.254790981415145e-06,-7.254790982388468e-06,9.733230185910748e-16,3.770773447175858e-13
3660.0,fixed-domain-moisture,650.0,-7.246247117821879e-06,7.246247117821879e-06,-7.246247118740247e-06,9.183675209732158e-16,3.728886475600817e-13
3690.0,fixed-domain-moisture,650.0,-7.238777183204263e-06,7.238777183204263e-06,-7.23877718414726e-06,9.429975450134763e-16,3.792146914405123e-13
3720.0,fixed-domain-moisture,650.0,-7.231511051598351e-06,7.231511051598351e-06,-7.231511052551044e-06,9.52692684127749e-16,3.833182235662381e-13
3750.0,fixed-domain-moisture,650.0,-7.224093111595365e-06,7.224093111595365e-06,-7.224093112577591e-06,9.822261818996647e-16,3.9022572851983253e-13
3780.0,fixed-domain-moisture,650.0,-7.216950883218464e-06,7.216950883218464e-06,-7.216950884216537e-06,9.980733213098454e-16,3.9350425384541946e-13
3810.0,fixed-domain-moisture,650.0,-7.21048039254117e-06,7.21048039254117e-06,-7.210480393469022e-06,9.278517488836222e-16,3.8820830951944324e-13
3840.0,fixed-domain-moisture,650.0,-7.2038258913661134e-06,7.2038258913661134e-06,-7.203825892249992e-06,8.838788804598624e-16,3.852772772817834e-13
3870.0,fixed-domain-moisture,650.0,-7.196738223274547e-06,7.196738223274547e-06,-7.196738224139316e-06,8.647698171698054e-16,3.85637882749608e-13
3900.0,fixed-domain-moisture,650.0,-7.189637541941271e-06,7.189637541941271e-06,-7.189637542787831e-06,8.465603028697324e-16,3.8590990648078356e-13
3930.0,fixed-domain-moisture,650.0,-7.182168649547094e-06,7.182168649547094e-06,-7.18216865040009e-06,8.529960592029706e-16,3.892418783431252e-13
3960.0,fixed-domain-moisture,650.0,-7.174802454719602e-06,7.174802454719602e-06,-7.1748024555711175e-06,8.515154456111701e-16,3.9168613374131095e-13
3990.0,fixed-domain-moisture,650.0,-7.168000141368225e-06,7.168000141368225e-06,-7.168000142138252e-06,7.700274879535174e-16,3.8262682454675055e-13
4020.0,fixed-domain-moisture,650.0,-7.160951093210076e-06,7.160951093210076e-06,-7.160951093925454e-06,7.153777692296172e-16,3.7767122390483967e-13
4050.0,fixed-domain-moisture,650.0,-7.153303526863375e-06,7.153303526863375e-06,-7.153303527532095e-06,6.687198063630613e-16,3.7346977669700277e-13
4080.0,fixed-domain-moisture,650.0,-7.145500169691707e-06,7.145500169691707e-06,-7.145500170321688e-06,6.299807545203859e-16,3.701355978803951e-13
4110.0,fixed-domain-moisture,650.0,-7.1381184993753235e-06,7.1381184993753235e-06,-7.1381185001558906e-06,7.805671189162026e-16,3.963341133584555e-13
4140.0,fixed-domain-moisture,650.0,-7.131331959538071e-06,7.131331959538071e-06,-7.131331960401173e-06,8.631020092966617e-16,4.1126190926037106e-13
4170.0,fixed-domain-moisture,650.0,-7.1244536484381775e-06,7.1244536484381775e-06,-7.124453649185194e-06,7.470161438754598e-16,3.949135064552142e-13
4200.0,fixed-domain-moisture,650.0,-7.117292979862222e-06,7.117292979862222e-06,-7.117292980541178e-06,6.789561995306295e-16,3.874336321586975e-13
4230.0,fixed-domain-moisture,650.0,-7.110933669763114e-06,7.110933669763114e-06,-7.110933670503026e-06,7.39912078546838e-16,4.0086677789115547e-13
4260.0,fixed-domain-moisture,650.0,-7.104837689283033e-06,7.104837689283033e-06,-7.104837690053004e-06,7.699715837789986e-16,4.0846131564888894e-13
4290.0,fixed-domain-moisture,650.0,-7.098869786894131e-06,7.098869786894131e-06,-7.098869787749555e-06,8.554245026627487e-16,4.2576606427986994e-13
4320.0,fixed-domain-moisture,650.0,-7.093342978326512e-06,7.093342978326512e-06,-7.093342979231923e-06,9.05411305012014e-16,4.349569533310447e-13
4350.0,fixed-domain-moisture,650.0,-7.086519184237658e-06,7.086519184237658e-06,-7.086519184901188e-06,6.635300354952342e-16,3.9728911475785013e-13
4380.0,fixed-domain-moisture,650.0,-7.078953314630033e-06,7.078953314630033e-06,-7.078953315145242e-06,5.152094842333227e-16,3.747030754260829e-13
4410.0,fixed-domain-moisture,650.0,-7.071725393664908e-06,7.071725393664908e-06,-7.0717253941889044e-06,5.239966040281388e-16,3.8050882032636627e-13
4440.0,fixed-domain-moisture,650.0,-7.06447696616287e-06,7.06447696616287e-06,-7.0644769666750585e-06,5.121881177104666e-16,3.806568734465254e-13
4470.0,fixed-domain-moisture,650.0,-7.0576920995763445e-06,7.0576920995763445e-06,-7.057692100172768e-06,5.964238502490123e-16,4.000092595093855e-13
4500.0,fixed-domain-moisture,650.0,-7.051237692740672e-06,7.051237692740672e-06,-7.051237693383403e-06,6.427311414754049e-16,4.110000486351569e-13
4530.0,fixed-domain-moisture,650.0,-7.044311084578325e-06,7.044311084578325e-06,-7.044311085195304e-06,6.169787987800324e-16,4.0831682343445705e-13
4560.0,fixed-domain-moisture,650.0,-7.037400889331645e-06,7.037400889331645e-06,-7.0374008899333235e-06,6.016788426537779e-16,4.0831671803279093e-13
4590.0,fixed-domain-moisture,650.0,-7.032233713062298e-06,7.032233713062298e-06,-7.032233713735703e-06,6.734047455943248e-16,4.2616017128621873e-13
4620.0,fixed-domain-moisture,650.0,-7.027393464806622e-06,7.027393464806622e-06,-7.027393465524214e-06,7.175919133537399e-16,4.376931391418846e-13
4650.0,fixed-domain-moisture,650.0,-7.020345515283471e-06,7.020345515283471e-06,-7.0203455159193395e-06,6.358684805367505e-16,4.2328572664014326e-13
4680.0,fixed-domain-moisture,650.0,-7.013153496494078e-06,7.013153496494078e-06,-7.013153497080403e-06,5.863255234518465e-16,4.1662442050929686e-13
4710.0,fixed-domain-moisture,650.0,-7.0075411215582004e-06,7.0075411215582004e-06,-7.007541122185203e-06,6.270025866778398e-16,4.29208176068758e-13
4740.0,fixed-domain-moisture,650.0,-7.002132558789651e-06,7.002132558789651e-06,-7.00213255943799e-06,6.483393466191756e-16,4.3662440354689996e-13
4770.0,fixed-domain-moisture,650.0,-6.996982099937698e-06,6.996982099937698e-06,-6.9969821005052526e-06,5.675544263077439e-16,4.2183637648047823e-13
4800.0,fixed-domain-moisture,650.0,-6.9916027680185e-06,6.9916027680185e-06,-6.991602768534371e-06,5.158710169651283e-16,4.1412748398843997e-13
