label,runtime_s,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,normalized_moisture_balance_error,max_terminal_picard_update,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C
Q2-M4-ablation,10.294779499992728,30,4.9999506887610054e-11,4,4.7810988523649135e-09,9.991538951759082e-08,0.0,0.0,0.0,,,,10800,1.7645199232311275,1.3285855566073943
Q2-sens-h_mult-low,1.3202863999904366,10,4.995545659511194e-11,4,5.814731236785471e-09,5.528909952090544e-08,0.0,0.0,0.0,,,,10800,1.7241296023572463,1.308307215280107
Q2-sens-h_mult-high,1.262601700000232,10,4.995545659511194e-11,4,5.814731236785471e-09,5.528909952090544e-08,0.0,0.0,0.0,,,,10800,1.7241296023572463,1.308307215280107
Q2-sens-hm_mult-low,1.260880099987844,10,4.997250189017411e-11,4,7.962993551859694e-09,7.316164740700515e-08,0.0,0.0,0.0,,,,10800,1.8230066287396691,1.4443266789532165
Q2-sens-hm_mult-high,1.1033637000073213,10,4.995803988929128e-11,4,7.446253624192397e-09,7.479525132580989e-08,0.0,0.0,0.0,,,,10800,1.6439945097770545,1.201306271945807
Q2-sens-pref-low,1.1667662000108976,9,4.996907551673184e-11,4,2.9882247695505446e-09,8.411701823973772e-08,0.0,0.0,0.0,,,,10800,1.8456364140805226,1.354401249134117
Q2-sens-pref-high,1.2795961999945575,11,4.994488819316201e-11,4,9.625331349603574e-09,8.060307488122476e-08,0.0,0.0,0.0,,,,10800,1.6349050380993744,1.2739011562316935
Q2-sens-exponent-low,1.1191110999934608,10,4.987727612463808e-11,4,8.980204662020946e-09,8.488853575627786e-08,0.0,0.0,0.0,,,,10800,1.6971464823108786,1.297163978996801
Q2-sens-exponent-high,1.11146899999585,9,4.8057757934883804e-11,4,7.847717188693304e-09,7.311233396478656e-08,0.0,0.0,0.0,,,,10800,1.7514005730955347,1.3198237316164816
Q3-M3-nr93,57.225972899992485,124,4.999962870369034e-11,7,2.313122974029541e-09,9.99535015450137e-08,0.0,0.0,0.0,"[206880, 206940, 0.1500120271178273, 0.14999457546344666]",206924.7881359893,206940.0,206940.0,0.14999457546344666,0.12156055220390895
Q3-M3-nr140,104.98161280000932,190,4.999860066547253e-11,7,1.973275197328873e-09,9.992284030757581e-08,0.0,0.0,0.0,"[206820, 206880, 0.15000884518833527, 0.1499913838200695]",206853.8296112381,206880.0,206880.0,0.1499913838200695,0.12153549699190291
Q3-M3-nr210,197.66709139999875,291,5.000064734843475e-11,8,1.806943150122999e-09,9.991933480613113e-08,0.0,0.0,0.0,"[206760, 206820, 0.15001609594125648, 0.14999862476949746]",206818.71137262788,206820.0,206820.0,0.14999862476949746,0.12152845456237177
Q3-M3-dt30,257.28014390000317,209,4.9999465655227964e-11,6,2.97134801510886e-09,9.997534036743083e-08,0.0,0.0,0.0,"[206700, 206730, 0.1500059043854213, 0.14999716926849396]",206723.71251173422,206760.0,206760.0,0.14999716926849396,0.12152729848560478
Q3-M3-dt15,322.1018971000012,152,4.99997423038768e-11,5,3.5489557752534386e-09,9.999483677886056e-08,0.0,0.0,0.0,"[206670, 206685, 0.15000078978444775, 0.14999642241309075]",206676.14712249584,206700.0,206700.0,0.14999642241309075,0.12152671531362493
Q3-M4-ablation,25.46476970000367,38,4.99994381431255e-11,5,2.3356737870998376e-09,9.996388897204334e-08,0.0,0.0,0.0,"[212580, 212640, 0.15001056634111756, 0.1499938992782724]",212621.63783826225,212640.0,212640.0,0.1499938992782724,0.12283141159707026
Q3-window-1800,24.809230900005787,12,4.9976398696893824e-11,5,2.598626042955872e-09,9.97469196128975e-08,0.0,0.0,0.0,"[214920, 214980, 0.15000803396982496, 0.14999173563492446]",214953.25727399805,214980.0,214980.0,0.14999173563492446,0.1233336729695692
