implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source
internal-temperature,Q4,spatial,H,Q4-spatial-H,18,18,300.0,259200.0,2,1,5.060327099999995,True,185586.26261226917,185640.0,185640.0,0.14994121191675344,0.1165790169346745,4.997297319236678e-11,7,9.999680120054144e-08,5.48275581029231e-10,4.440892098500626e-16,0.0,1.2641259571463846e-14,"[185400.0, 185700.0, 0.15009363694883696, 0.14994121191675344]",413,49.99893442622994,49.99893442623181,49.99893442623105,1.8758328224066645e-12,2.3305801732931286e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,time,L,Q4-time-L,12,12,600.0,259200.0,1,0,2.604159599999548,True,187530.75895693287,187560.0,187560.0,0.14986407050327413,0.11691905085547272,4.9984118810436245e-11,7,9.950339048547807e-08,5.051488878805279e-10,4.440892098500626e-16,0.0,6.762125337742086e-15,"[187200.0, 187800.0, 0.1501647590502849, 0.14986407050327413]",218,49.99893442622971,49.99893442623062,49.99893442623011,9.094947017729282e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,time,M,Q4-time-M,12,12,300.0,259200.0,1,1,3.515455300002941,True,186821.2146792596,186840.0,186840.0,0.14995942641406115,0.11698131617841888,4.9971273697610745e-11,6,9.99937673495932e-08,8.934328808464882e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186600.0, 186900.0, 0.150110115345325, 0.14995942641406115]",314,49.99893442622971,49.99893442623079,49.99893442623015,1.0800249583553523e-12,1.3073986337985843e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,time,H,Q4-time-H,12,12,150.0,259200.0,1,2,5.8650199999974575,True,186466.07990531749,186480.0,186480.0,0.14993178010324973,0.11696244671332265,4.9987857677868163e-11,5,9.957245031277928e-08,1.0716019596358608e-09,6.661338147750939e-16,0.0,8.096214461664643e-15,"[186450.0, 186600.0, 0.15000707115300924, 0.14993178010324973]",643,49.99893442622965,49.99893442623062,49.99893442623009,9.663381206337363e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,spatial,X,Q3-spatial-X,27,27,300.0,259200.0,X,M,5.360476000001654,True,208707.35199730666,208740.0,208740.0,0.14997231193266636,0.1218817473134485,4.999876382161487e-11,9,9.991506921824822e-08,5.767802646824747e-10,0.0,0.0,0.0,"[208500.0, 208800.0, 0.1500587295560078, 0.14997231193266636]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q3,spatial,X,Q3-spatial-X,27,27,300.0,259200.0,X,M,8.762481600002502,True,209005.8410294359,209040.0,209040.0,0.14997187700950904,0.12187921026583663,4.998465701178224e-11,9,9.990718576047275e-08,2.529007525820907e-10,0.0,0.0,0.0,"[208800.0, 209100.0, 0.1500582935994371, 0.14997187700950904]",697,49.99893442623585,49.998934426301844,49.998934426264306,6.59952092973981e-11,7.23616722098086e-11,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q3,spatial,Y,Q3-spatial-Y,36,36,300.0,259200.0,Y,M,14.43401929999527,True,208248.22086597132,208260.0,208260.0,0.1499262902181482,0.12166925931448738,4.998810709462314e-11,9,9.997534701489119e-08,5.733410777497901e-10,0.0,0.0,0.0,"[208200.0, 208500.0, 0.15001292541387118, 0.1499262902181482]",0,49.99893442622948,49.99893442622948,49.99893442622949,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q3,spatial,Y,Q3-spatial-Y,36,36,300.0,259200.0,Y,M,11.893675400002394,True,208546.50863317307,208560.0,208560.0,0.1499257967646104,0.12166667753024873,4.998883516912186e-11,9,9.996709324222586e-08,2.6043322242024855e-10,0.0,0.0,0.0,"[208500.0, 208800.0, 0.15001243076280835, 0.1499257967646104]",696,49.99893442627365,49.99893442674971,49.99893442647771,4.760636329592671e-10,5.20230969414115e-10,49.99893442622948,{},new-refinement-run
prescribed-T-baseline,Q3,time,X,Q3-time-X,12,12,75.0,259200.0,M,X,5.077585199993337,True,212360.43495025407,212400.0,212400.0,0.14998801141124135,0.12293532328910334,4.9994445069005e-11,5,9.976078191309412e-08,3.5111383717631284e-09,0.0,0.0,0.0,"[212325.0, 212400.0, 0.15000884151665486, 0.14998801141124135]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run
internal-temperature,Q3,time,X,Q3-time-X,12,12,75.0,259200.0,M,X,8.946618200003286,True,212666.57099660204,212700.0,212700.0,0.1499897150833393,0.12293436754330783,4.9996226804341995e-11,5,9.978481202432832e-08,1.9798952842196723e-09,0.0,0.0,0.0,"[212625.0, 212700.0, 0.15001054635794422, 0.1499897150833393]",1351,49.99893442622965,49.99893442623073,49.99893442623008,1.0800249583553523e-12,1.2505552149377763e-12,49.99893442622948,{},new-refinement-run
