implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source
internal-temperature,Q3,spatial,L,Q3-spatial-L,8,8,300.0,259200.0,0,1,2.895535799994832,True,221841.08277370883,221880.0,221880.0,0.14995785912892948,0.12387628589070786,4.99934663106543e-11,5,9.888319529860468e-08,6.494901395715947e-10,0.0,0.0,0.0,"[221700.0, 222000.0, 0.1500355238453935, 0.14995785912892948]",231,49.998934426229596,49.99893442623011,49.99893442622982,5.115907697472721e-13,6.252776074688882e-13,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,M,Q3-spatial-M,12,12,300.0,259200.0,1,1,3.9555466000019806,True,213374.19495377087,213420.0,213420.0,0.14993638714134797,0.12289735811913033,4.9961524537958594e-11,6,9.979815110416901e-08,5.159444118141093e-10,0.0,0.0,0.0,"[213300.0, 213600.0, 0.15001957331415186, 0.14993638714134797]",273,49.99893442622971,49.998934426230676,49.99893442623012,9.663381206337363e-13,1.1937117960769683e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,H,Q3-spatial-H,18,18,300.0,259200.0,2,1,5.887750499998219,True,210287.00624195047,210300.0,210300.0,0.1499952950261403,0.12229254694102548,4.999190495809752e-11,8,9.951727902857144e-08,5.43013744857858e-10,0.0,0.0,0.0,"[210000.0, 210300.0, 0.15008083549516152, 0.1499952950261403]",534,49.998934426229994,49.99893442623198,49.99893442623121,1.9895196601282805e-12,2.5011104298755527e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q3,spatial,X,Q3-spatial-X,27,27,300.0,259200.0,X,M,8.762481600002502,True,209005.8410294359,209040.0,209040.0,0.14997187700950904,0.12187921026583663,4.998465701178224e-11,9,9.990718576047275e-08,2.529007525820907e-10,0.0,0.0,0.0,"[208800.0, 209100.0, 0.1500582935994371, 0.14997187700950904]",697,49.99893442623585,49.998934426301844,49.998934426264306,6.59952092973981e-11,7.23616722098086e-11,49.99893442622948,{},previous-refinement-package
internal-temperature,Q3,spatial,Y,Q3-spatial-Y,36,36,300.0,259200.0,Y,M,11.893675400002394,True,208546.50863317307,208560.0,208560.0,0.1499257967646104,0.12166667753024873,4.998883516912186e-11,9,9.996709324222586e-08,2.6043322242024855e-10,0.0,0.0,0.0,"[208500.0, 208800.0, 0.15001243076280835, 0.1499257967646104]",696,49.99893442627365,49.99893442674971,49.99893442647771,4.760636329592671e-10,5.20230969414115e-10,49.99893442622948,{},previous-refinement-package
internal-temperature,Q4,spatial,L,Q4-spatial-L,8,8,300.0,259200.0,0,1,2.747204300001613,True,189886.1250996116,189900.0,189900.0,0.14999223099787928,0.11769997556747779,4.9994078642278354e-11,6,9.92376707198428e-08,7.79989232366209e-10,4.440892098500626e-16,0.0,4.0792193595404256e-15,"[189600.0, 189900.0, 0.1501385888512238, 0.14999223099787928]",301,49.998934426229596,49.998934426229994,49.99893442622976,3.979039320256561e-13,5.115907697472721e-13,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,spatial,M,Q4-spatial-M,12,12,300.0,259200.0,1,1,3.4786988999985624,True,186821.2146792596,186840.0,186840.0,0.14995942641406115,0.11698131617841888,4.9971273697610745e-11,6,9.99937673495932e-08,8.934328808464882e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186600.0, 186900.0, 0.150110115345325, 0.14995942641406115]",314,49.99893442622971,49.99893442623079,49.99893442623015,1.0800249583553523e-12,1.3073986337985843e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,spatial,H,Q4-spatial-H,18,18,300.0,259200.0,2,1,5.060327099999995,True,185586.26261226917,185640.0,185640.0,0.14994121191675344,0.1165790169346745,4.997297319236678e-11,7,9.999680120054144e-08,5.48275581029231e-10,4.440892098500626e-16,0.0,1.2641259571463846e-14,"[185400.0, 185700.0, 0.15009363694883696, 0.14994121191675344]",413,49.99893442622994,49.99893442623181,49.99893442623105,1.8758328224066645e-12,2.3305801732931286e-12,49.99893442622948,{},existing-completion-package
internal-temperature,Q4,spatial,X,Q4-spatial-X,27,27,300.0,259200.0,X,M,7.628727899995283,True,185059.07396981536,185100.0,185100.0,0.14997808185293365,0.11637848760791399,4.9997915425065066e-11,7,9.991123101071864e-08,3.607957575821789e-10,4.440892098500626e-16,0.0,1.8004844366213006e-14,"[184800.0, 185100.0, 0.15013141810596356, 0.14997808185293365]",617,49.99893442623488,49.998934426319295,49.99893442627356,8.44124770082999e-11,8.981260180007666e-11,49.99893442622948,{},previous-refinement-package
internal-temperature,Q4,spatial,Y,Q4-spatial-Y,36,36,300.0,259200.0,Y,M,10.875674900002195,True,184874.96922578613,184920.0,184920.0,0.1498840451128862,0.11622102248202891,4.9995549032833575e-11,8,9.982937550223614e-08,2.0488597616153065e-10,4.440892098500626e-16,0.0,2.4790312746171267e-14,"[184800.0, 185100.0, 0.1500372973347417, 0.1498840451128862]",617,49.99893442628161,49.99893442709987,49.998934426663524,8.182610145013314e-10,8.703864295966923e-10,49.99893442622948,{},previous-refinement-package
