time_s,max_C,mean_C,center_C,surface_C
171840,0.1621809212166078,0.1299550745770481,0.1621809212166078,0.0537574983536111
171900,0.1621558538568511,0.1299378745570245,0.1621558538568511,0.0537549636032483
171960,0.1621308039638258,0.1299206859704389,0.1621308039638258,0.0537524316647373
172020,0.1621057715436055,0.1299035088047201,0.1621057715436055,0.053749902533794
172080,0.1620807565503951,0.1298863430473171,0.1620807565503951,0.0537473762061387
172140,0.1620557589902143,0.1298691886856967,0.1620557589902143,0.0537448526775025
172200,0.1620307788203595,0.1298520457073458,0.1620307788203595,0.053742331943606
172260,0.1620058160353659,0.1298349140997691,0.1620058160353659,0.053739814000222
172320,0.1619808706091467,0.1298177938504914,0.1619808706091467,0.0537372988430955
172380,0.1619559425257684,0.1298006849470547,0.1619559425257684,0.0537347864679866
172440,0.1619310317623501,0.1297835873770215,0.1619310317623501,0.0537322768706593
172500,0.161906138301724,0.1297665011279717,0.161906138301724,0.0537297700468916
172560,0.1618812621224037,0.1297494261875054,0.1618812621224037,0.0537272659924646
172620,0.1618564032060301,0.1297323625432399,0.1618564032060301,0.0537247647031717
172680,0.1618315615320896,0.1297153101828126,0.1618315615320896,0.0537222661748108
172740,0.1618067370821568,0.1296982690938783,0.1618067370821568,0.0537197704031903
172800,0.161781929835355,0.1296812392641115,0.161781929835355,0.0537172773841238
172860,0.1617571397738448,0.1296642206812042,0.1617571397738448,0.0537147871134352
172920,0.1617323668762679,0.1296472133328682,0.1617323668762679,0.0537122995869536
172980,0.1617076111254038,0.1296302172068322,0.1617076111254038,0.0537098148005188
173040,0.1616828724993584,0.1296132322908454,0.1616828724993584,0.0537073327499747
173100,0.1616581509815481,0.1295962585726731,0.1616581509815481,0.0537048534311775
173160,0.1616334465496553,0.1295792960401016,0.1616334465496553,0.0537023768399855
173220,0.161608759187342,0.1295623446809327,0.161608759187342,0.0536999029722712
173280,0.161584088872887,0.1295454044829892,0.161584088872887,0.0536974318239089
173340,0.1615594355886921,0.1295284754341105,0.1615594355886921,0.0536949633907844
173400,0.1615347993088536,0.1295115575220093,0.1615347993088536,0.0536924976710396
173460,0.1615101800286615,0.1294946507347036,0.1615101800286615,0.0536900346572563
173520,0.1614855777139841,0.1294777550600901,0.1614855777139841,0.0536875743457896
173580,0.1614609923599874,0.1294608704860834,0.1614609923599874,0.0536851167328009
173640,0.1614364239321205,0.1294439970006147,0.1614364239321205,0.0536826618143723
173700,0.1614118724275544,0.1294271345916341,0.1614118724275544,0.0536802095864786
173760,0.1613873378100949,0.1294102832471088,0.1613873378100949,0.0536777600451201
173820,0.1613628200460606,0.1293934429550247,0.1613628200460606,0.0536753131863051
173880,0.1613383191577051,0.1293766137033844,0.1613383191577051,0.0536728690059515
173940,0.161313835112391,0.1293597954802105,0.161313835112391,0.0536704274999822
174000,0.1612893678899523,0.1293429882735405,0.1612893678899523,0.0536679886644787
174060,0.1612649174688636,0.1293261920714331,0.1612649174688636,0.0536655524953459
174120,0.1612404838318021,0.1293094068619619,0.1612404838318021,0.0536631189886482
174180,0.1612160669570057,0.1292926326332205,0.1612160669570057,0.0536606881403447
174240,0.1611916668289793,0.1292758693733188,0.1611916668289793,0.0536582599464652
174300,0.1611672834255239,0.1292591170703855,0.1611672834255239,0.0536558344030049
174360,0.1611429167306269,0.1292423757125661,0.1611429167306269,0.0536534115060002
174420,0.161118566723517,0.1292256452880247,0.161118566723517,0.0536509912514591
174480,0.1610942333863158,0.1292089257849419,0.1610942333863158,0.0536485736354381
174540,0.1610699167011366,0.1291922171915173,0.1610699167011366,0.0536461586539426
174600,0.1610456166466014,0.1291755194959666,0.1610456166466014,0.0536437463030632
174660,0.1610213332089728,0.1291588326865249,0.1610213332089728,0.0536413365787934
174720,0.1609970663632799,0.1291421567514423,0.1609970663632799,0.0536389294772678
174780,0.1609728160976608,0.1291254916789891,0.1609728160976608,0.0536365249944847
174840,0.1609485823872591,0.1291088374574507,0.1609485823872591,0.0536341231265782
174900,0.1609243652192543,0.1290921940751319,0.1609243652192543,0.053631723869579
174960,0.1609001645706568,0.1290755615203533,0.1609001645706568,0.0536293272196111
175020,0.1608759804262489,0.1290589397814542,0.1608759804262489,0.0536269331727434
175080,0.1608518127656059,0.1290423288467903,0.1608518127656059,0.0536245417250964
175140,0.1608276615715296,0.129025728704735,0.1608276615715296,0.0536221528727705
175200,0.1608035268251137,0.129009139343679,0.1608035268251137,0.0536197666118895
175260,0.1607794085083048,0.12899256075203,0.1607794085083048,0.0536173829385716
175320,0.1607553066025216,0.1289759929182131,0.1607553066025216,0.0536150018489597
175380,0.1607312210902281,0.1289594358306707,0.1607312210902281,0.0536126233391762
175440,0.1607071519516768,0.1289428894778619,0.1607071519516768,0.0536102474053921
175500,0.1606830991713433,0.1289263538482636,0.1606830991713433,0.0536078740437278
175560,0.1606590627269496,0.1289098289303686,0.1606590627269496,0.0536055032503868
175620,0.1606350426059732,0.1288933147126886,0.1606350426059732,0.0536031350214842
175680,0.1606110387834992,0.1288768111837501,0.1606110387834992,0.0536007693532598
175740,0.1605870512486983,0.1288603183320986,0.1605870512486983,0.0535984062418328
175800,0.1605630799763869,0.1288438361462947,0.1605630799763869,0.0535960456834579
175860,0.160539124954766,0.1288273646149179,0.160539124954766,0.053593687674267
175920,0.1605151861609806,0.1288109037265625,0.1605151861609806,0.0535913322105215
175980,0.1604912635804394,0.1287944534698416,0.1604912635804394,0.0535889792883842
176040,0.1604673572040793,0.1287780138333839,0.1604673572040793,0.0535866289040987
176100,0.1604434669849315,0.128761584805836,0.1604434669849315,0.0535842810538588
176160,0.1604195929399682,0.1287451663758597,0.1604195929399682,0.05358193573395
176220,0.1603957350196486,0.1287287585321344,0.1603957350196486,0.0535795929405878
176280,0.1603718932367223,0.1287123612633559,0.1603718932367223,0.0535772526700362
176340,0.1603480675432673,0.1286959745582371,0.1603480675432673,0.0535749149185304
176400,0.1603242579521714,0.128679598405507,0.1603242579521714,0.053572579682344
176460,0.1603004644148801,0.1286632327939122,0.1603004644148801,0.0535702469577158
176520,0.1602766869437786,0.1286468777122145,0.1602766869437786,0.0535679167409545
176580,0.1602529254916239,0.1286305331491935,0.1602529254916239,0.0535655890283151
176640,0.1602291800700423,0.1286141990936443,0.1602291800700423,0.0535632638161078
176700,0.16020545063213,0.1285978755343795,0.16020545063213,0.0535609411006121
176760,0.1601817371895333,0.1285815624602271,0.1601817371895333,0.0535586208781477
176820,0.1601580396953106,0.1285652598600324,0.1601580396953106,0.0535563031450054
176880,0.1601343581612076,0.1285489677226562,0.1601343581612076,0.0535539878975222
176940,0.160110692540333,0.1285326860369769,0.160110692540333,0.0535516751320007
177000,0.1600870428445417,0.1285164147918878,0.1600870428445417,0.0535493648447929
177060,0.1600634090268977,0.1285001539762997,0.1600634090268977,0.0535470570322142
177120,0.160039791099451,0.1284839035791389,0.160039791099451,0.0535447516906318
177180,0.1600161890151573,0.1284676635893484,0.1600161890151573,0.0535424488163735
177240,0.1599926027862845,0.1284514339958869,0.1599926027862845,0.053540148405821
177300,0.1599690323656797,0.1284352147877301,0.1599690323656797,0.0535378504553155
177360,0.159945477765827,0.1284190059538688,0.159945477765827,0.0535355549612522
177420,0.1599219389394572,0.1284028074833109,0.1599219389394572,0.0535332619199859
177480,0.1598984158992702,0.1283866193650796,0.1598984158992702,0.0535309713279252
177540,0.1598749085978888,0.1283704415882149,0.1598749085978888,0.0535286831814385
177600,0.1598514170482123,0.1283542741417719,0.1598514170482123,0.0535263974769481
177660,0.1598279412027761,0.1283381170148228,0.1598279412027761,0.0535241142108354
177720,0.1598044810746658,0.1283219701964547,0.1598044810746658,0.0535218333795367
177780,0.159781036616336,0.1283058336757717,0.159781036616336,0.0535195549794462
177840,0.1597576078410588,0.1282897074418926,0.1597576078410588,0.0535172790070141
177900,0.159734194701205,0.1282735914839534,0.159734194701205,0.0535150054586475
177960,0.1597107972102353,0.1282574857911047,0.1597107972102353,0.0535127343308103
178020,0.1596874153204352,0.1282413903525139,0.1596874153204352,0.0535104656199227
178080,0.1596640490454501,0.1282253051573635,0.1596640490454501,0.0535081993224615
178140,0.1596406983374901,0.1282092301948525,0.1596406983374901,0.0535059354348608
178200,0.1596173632103661,0.1281931654541946,0.1596173632103661,0.05350367395361
178260,0.159594043616239,0.1281771109246204,0.159594043616239,0.0535014148751565
178320,0.1595707395690425,0.128161066595375,0.1595707395690425,0.0534991581960028
178380,0.1595474510209595,0.1281450324557203,0.1595474510209595,0.0534969039126095
178440,0.1595241779859261,0.1281290084949327,0.1595241779859261,0.0534946520214919
178500,0.1595009204163333,0.1281129947023053,0.1595009204163333,0.0534924025191234
178560,0.1594776783258592,0.1280969910671456,0.1594776783258592,0.0534901554020329
178620,0.1594544516674306,0.1280809975787779,0.1594544516674306,0.0534879106667069
178680,0.1594312404541383,0.1280650142265406,0.1594312404541383,0.0534856683096869
178740,0.1594080446397206,0.1280490409997889,0.1594080446397206,0.0534834283274742
178800,0.159384864236545,0.1280330778878924,0.159384864236545,0.0534811907166199
178860,0.1593616991991276,0.1280171248802369,0.1593616991991276,0.0534789554736421
178920,0.1593385495392453,0.1280011819662231,0.1593385495392453,0.0534767225951005
178980,0.159315415211999,0.1279852491352672,0.159315415211999,0.0534744920775294
179040,0.159292296228743,0.1279693263768006,0.159292296228743,0.0534722639174987
179100,0.1592691925450407,0.1279534136802706,0.1592691925450407,0.0534700381115566
179160,0.159246104136052,0.1279375110351395,0.159246104136052,0.053467814656332
179220,0.1592230310257814,0.1279216184308842,0.1592230310257814,0.0534655935483213
179280,0.1591999731823674,0.1279057358569978,0.1591999731823674,0.0534633747841001
179340,0.1591769305896587,0.1278898633029869,0.1591769305896587,0.053461158360314
179400,0.1591539032293693,0.1278740007583759,0.1591539032293693,0.0534589442734908
179460,0.1591308910839082,0.1278581482127016,0.1591308910839082,0.0534567325203029
179520,0.1591078941347862,0.1278423056555182,0.1591078941347862,0.0534545230972952
179580,0.1590849123697976,0.1278264730763932,0.1590849123697976,0.0534523160011294
179640,0.1590619457671223,0.1278106504649104,0.1590619457671223,0.0534501112283921
179700,0.159038994315433,0.1277948378106679,0.159038994315433,0.0534479087757295
179760,0.1590160579944335,0.1277790351032793,0.1590160579944335,0.0534457086397514
179820,0.1589931367901065,0.1277632423323725,0.1589931367901065,0.0534435108171194
179880,0.1589702306852806,0.1277474594875915,0.1589702306852806,0.0534413153044469
179940,0.1589473396631641,0.1277316865585937,0.1589473396631641,0.0534391220984215
180000,0.1589244637090738,0.127715923535053,0.1589244637090738,0.0534369311956551
180060,0.1589016028043929,0.1277001704066564,0.1589016028043929,0.0534347425928597
180120,0.1588787569357187,0.1276844271631076,0.1588787569357187,0.0534325562866503
180180,0.1588559260838391,0.1276686937941234,0.1588559260838391,0.0534303722737549
180240,0.1588331102459713,0.1276529702894366,0.1588331102459713,0.0534281905508217
180300,0.1588103093745624,0.1276372566387941,0.1588103093745624,0.0534260111145453
180360,0.1587875234902345,0.1276215528319584,0.1587875234902345,0.0534238339615925
180420,0.1587647525431816,0.1276058588587055,0.1587647525431816,0.0534216590886976
180480,0.1587419965499692,0.1275901747088265,0.1587419965499692,0.0534194864925598
180540,0.1587192554616168,0.1275745003721275,0.1587192554616168,0.0534173161698808
180600,0.158696529295428,0.1275588358384285,0.158696529295428,0.053415148117404
180660,0.1586738180027551,0.1275431810975652,0.1586738180027551,0.0534129823318065
180720,0.1586511216000289,0.127527536139387,0.1586511216000289,0.0534108188098434
180780,0.1586284400390804,0.1275119009537584,0.1586284400390804,0.0534086575482321
180840,0.1586057733354866,0.1274962755305576,0.1586057733354866,0.0534064985437489
180900,0.1585831214427311,0.1274806598596783,0.1585831214427311,0.0534043417930998
180960,0.1585604843747522,0.1274650539310277,0.1585604843747522,0.05340218729307
181020,0.1585378620864617,0.1274494577345284,0.1585378620864617,0.0534000350403947
181080,0.1585152545908285,0.1274338712601163,0.1585152545908285,0.0533978850318606
181140,0.1584926618435566,0.1274182944977429,0.1584926618435566,0.0533957372642138
181200,0.1584700838569955,0.1274027274373728,0.1584700838569955,0.0533935917342579
181260,0.1584475205875527,0.1273871700689862,0.1584475205875527,0.0533914484387464
181320,0.1584249720470826,0.1273716223825763,0.1584249720470826,0.0533893073744962
181380,0.1584024381924772,0.1273560843681519,0.1584024381924772,0.0533871685382739
181440,0.1583799190352844,0.1273405560157348,0.1583799190352844,0.0533850319269062
181500,0.1583574145327229,0.1273250373153623,0.1583574145327229,0.0533828975371727
181560,0.158334924696113,0.1273095282570845,0.158334924696113,0.0533807653659111
181620,0.1583124494829862,0.127294028830967,0.1583124494829862,0.0533786354099127
181680,0.1582899889044457,0.1272785390270884,0.1582899889044457,0.0533765076660267
181740,0.1582675429183189,0.1272630588355426,0.1582675429183189,0.0533743821310561
181800,0.1582451115355383,0.1272475882464363,0.1582451115355383,0.0533722588018614
181860,0.1582226947141655,0.1272321272498915,0.1582226947141655,0.0533701376752571
181920,0.1582002924650207,0.1272166758360433,0.1582002924650207,0.0533680187481155
181980,0.1581779047463512,0.1272012339950416,0.1581779047463512,0.0533659020172625
182040,0.1581555315688892,0.1271858017170495,0.1581555315688892,0.0533637874795816
182100,0.1581331728910573,0.1271703789922448,0.1581331728910573,0.0533616751319106
182160,0.1581108287235006,0.1271549658108187,0.1581108287235006,0.053359564971144
182220,0.1580884990248176,0.1271395621629768,0.1580884990248176,0.0533574569941311
182280,0.1580661838055685,0.127124168038938,0.1580661838055685,0.0533553511977777
182340,0.1580438830245219,0.1271087834289359,0.1580438830245219,0.0533532475789445
182400,0.1580215966921642,0.1270934083232168,0.1580215966921642,0.0533511461345485
182460,0.1579993247674228,0.1270780427120422,0.1579993247674228,0.0533490468614617
182520,0.1579770672438122,0.1270626865855373,0.1579770672438122,0.0533469497608796
182580,0.157954824119549,0.1270473399341301,0.157954824119549,0.0533448548235021
182640,0.1579325953701429,0.1270320027481278,0.1579325953701429,0.0533427620470136
182700,0.1579103809801133,0.1270166750178476,0.1579103809801133,0.0533406714288442
182760,0.1578881809359766,0.1270013567336221,0.1578881809359766,0.0533385829661589
182820,0.1578659952199148,0.1269860478857941,0.1578659952199148,0.0533364966560538
182880,0.157843823817999,0.1269707484647224,0.157843823817999,0.053334412495518
182940,0.157821666715433,0.1269554584607771,0.157821666715433,0.0533323304815604
183000,0.1577995238957392,0.1269401778643432,0.1577995238957392,0.053330250611145
183060,0.1577773953453502,0.1269249066658181,0.1577773953453502,0.0533281728812606
183120,0.157755281048156,0.126909644855614,0.157755281048156,0.0533260972888693
183180,0.1577331809895108,0.1268943924241548,0.1577331809895108,0.0533240238309697
183240,0.1577110951545881,0.1268791493618798,0.1577110951545881,0.0533219525045242
183300,0.1576890235279045,0.1268639156592398,0.1576890235279045,0.053319883306541
