time_s,radius_m,max_C,mean_C,center_C,surface_C,center_T_C,surface_T_C
57600.0,0.02,0.334331284201002,0.23962686920831125,0.334331284201002,0.09835680058869674,49.99893427115899,49.9989343322751
61200.0,0.02,0.3153956778974497,0.2279312920492733,0.3153956778974497,0.09061376900818756,49.99893428647016,49.9989343420649
64800.0,0.02,0.29929634883630774,0.21800496767422975,0.29929634883630774,0.0846206880191234,49.99893428991584,49.99893434425951
68400.0,0.02,0.28546518876845617,0.20946498105820965,0.28546518876845617,0.07989324076198186,49.99893429440334,49.99893434712129
72000.0,0.02,0.2734659784445954,0.2020312189214806,0.2734659784445954,0.0760990177053953,49.99893430027731,49.99893435085028
75600.0,0.02,0.26296173366647196,0.19549453926418842,0.26296173366647196,0.0730068144303661,49.99893430483161,49.99893435373252
79200.0,0.02,0.25369001230629074,0.18969573162460027,0.25369001230629074,0.0704525046173093,49.99893430870719,49.99893435618003
82800.0,0.02,0.24544452230974895,0.18451145568652427,0.24544452230974895,0.06831735174593685,49.99893431216668,49.99893435836054
86400.0,0.02,0.2380615168357163,0.1798446584690286,0.2380615168357163,0.06651368644867568,49.99893431531871,49.998934360343355
90000.0,0.02,0.23140973867981726,0.1756179073139548,0.23140973867981726,0.06497566293392179,49.99893431823688,49.99893436217553
93600.0,0.02,0.22538296196878937,0.1717686555353207,0.22538296196878937,0.06365304602895407,49.99893432098037,49.998934363894136
97200.0,0.02,0.21989442633574346,0.16824581761722762,0.21989442633574346,0.06250696776099576,49.998934323600054,49.99893436553191
100800.0,0.02,0.21487265096414607,0.16500724965004598,0.21487265096414607,0.06150697206733379,49.998934326123276,49.998934367105164
104400.0,0.02,0.21025825949633023,0.1620178688924903,0.21025825949633023,0.06062894067028896,49.998934328373764,49.99893436850567
108000.0,0.02,0.20600155016902957,0.1592482226896595,0.20600155016902957,0.05985349599142318,49.99893433094377,49.998934370100926
111600.0,0.02,0.2020606193796887,0.15667340356826984,0.2020606193796887,0.059165025554753496,49.998934333921454,49.99893437194186
115200.0,0.02,0.1983999000895665,0.15427219735593997,0.1983999000895665,0.05855077963833287,49.998934336807054,49.99893437371844
118800.0,0.02,0.19498901341184616,0.1520264193332672,0.19498901341184616,0.0580002727952312,49.998934339603636,49.99893437543386
122400.0,0.02,0.19180185899409657,0.14992038876159242,0.19180185899409657,0.05750481827522573,49.9989343423253,49.998934377097044
126000.0,0.02,0.18881588879184374,0.14794050923644672,0.18881588879184374,0.05705716933013757,49.998934344969996,49.99893437870833
129600.0,0.02,0.18601152305933466,0.14607493093643806,0.18601152305933466,0.05665124160684195,49.99893434753403,49.998934380264984
133200.0,0.02,0.18337167716026725,0.14431327665201343,0.18337167716026725,0.056281895848932235,49.99893435002531,49.99893438177247
136800.0,0.02,0.18088137591962872,0.14264641795790065,0.18088137591962872,0.05594476660061086,49.99893435244604,49.99893438323335
140400.0,0.02,0.1785274369856333,0.14106629115398647,0.1785274369856333,0.05563612607548891,49.998934354791515,49.99893438464443
144000.0,0.02,0.17629820945037034,0.13956574495858207,0.17629820945037034,0.055352775324523665,49.99893435707088,49.998934386012024
147600.0,0.02,0.1741833568512473,0.13813841367785581,0.1741833568512473,0.05509195620560584,49.99893435927925,49.998934387333804
151200.0,0.02,0.1721736760719087,0.13677861111701395,0.1721736760719087,0.054851280312902616,49.99893436142213,49.99893438861312
154800.0,0.02,0.17026094510960307,0.13548124183829185,0.17026094510960307,0.05462866059139233,49.998934363275794,49.998934389712986
158400.0,0.02,0.1684377953131394,0.13424172394737338,0.1684377953131394,0.05442230857040205,49.99893436459496,49.99893439049845
162000.0,0.02,0.16669760237670445,0.13305592615629908,0.16669760237670445,0.05423061847560918,49.99893436576224,49.99893439119364
165600.0,0.02,0.16503439399249276,0.13192011367915,0.16503439399249276,0.05405219550384511,49.998934366814524,49.998934391819034
169200.0,0.02,0.1634427713276829,0.13083090044721662,0.1634427713276829,0.05388580751248605,49.99893436778825,49.998934392398155
172800.0,0.02,0.1619178405713544,0.12978520888505127,0.1619178405713544,0.05373036371116638,49.99893436872088,49.99893439295249
176400.0,0.02,0.16045515544223243,0.1287802351254519,0.16045515544223243,0.05358489570111517,49.99893436962611,49.998934393490515
180000.0,0.02,0.15905066625945233,0.127813418831906,0.15905066625945233,0.053448541345980316,49.99893437050889,49.99893439401444
183600.0,0.02,0.15770067624210077,0.12688241692450672,0.15770067624210077,0.053320530855416694,49.9989343713828,49.99893439453291
