time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
8040.0,93.92806657993411,93.92806657993411,0.0,283.62764144213884,15.993455706301729,15.210721806689211,2.8813305997814677e-11,-1.3735680681747908e-06,7.156927669867592e-10
8160.0,98.66355495628176,98.66355495628176,0.0,283.83414890730955,15.973491188975581,15.15129488786391,3.2396047096811156e-11,-1.1771187189424381e-06,6.141001075972513e-10
8280.0,91.71065470234319,91.71065470234319,0.0,284.05150850146697,15.862753020924398,15.098497551193724,2.6877040443770552e-11,-1.665337720169191e-06,8.748679574369703e-10
8400.0,83.90480005777616,83.90480005777616,0.0,284.253894951985,15.73938351279032,15.040176831975486,2.6075184259894827e-11,-1.6400039299924174e-06,8.683122439641607e-10
8520.0,91.18688772902584,91.18688772902584,0.0,284.43936679639353,15.742939882374696,14.983049140181455,3.21228028105475e-11,-1.3341630307195373e-06,7.062229379687551e-10
8640.0,79.56773785158914,79.56773785158914,0.0,284.64136960023905,15.590401228132016,14.92733673408256,3.532367394144588e-11,-1.4343455632115365e-06,7.666819806959913e-10
8760.0,76.26472510073351,76.26472510073351,0.0,284.8179017489038,15.50136424568132,14.86582485737829,2.448380034091922e-11,-1.4956301157553753e-06,8.04031445260298e-10
8880.0,77.7733536925452,77.7733536925452,0.0,284.9874125423432,15.453547055752741,14.805435763043794,2.403668406128647e-11,-1.4325284354299583e-06,7.724917081397422e-10
9000.0,85.73347448736095,85.73347448736095,0.0,285.1606210711599,15.463503141996188,14.749057510330102,3.338190131281151e-11,-1.312569381184403e-06,7.073480100916313e-10
9120.0,69.71801264517617,69.71801264517617,0.0,285.3519693748738,15.276272828433218,14.695289378159348,3.524257640842182e-11,-1.3876881723717815e-06,7.569953897114461e-10
9240.0,69.25693032164374,69.25693032164374,0.0,285.5077733317155,15.21053459866276,14.633393500454124,3.5195717457082954e-11,-1.4633924791951358e-06,8.01742847861393e-10
9360.0,72.1777925454901,72.1777925454901,0.0,285.6628430778906,15.17596561657655,14.574484000550356,2.3622574134560438e-11,-1.3776530920495134e-06,7.564884320247785e-10
9480.0,79.54617732700041,79.54617732700041,0.0,285.82478323744965,15.180099933555631,14.517215112269552,3.14517097325943e-11,-1.2273290934672332e-06,6.737598889551338e-10
9600.0,65.23415479999566,65.23415479999566,0.0,286.0036378534637,15.007955206862523,14.464337238855105,3.466329223623987e-11,-1.3608944442466964e-06,7.556517113139744e-10
9720.0,67.33001232120776,67.33001232120776,0.0,286.1505013749804,14.970498986300328,14.409415536388023,2.7476858999485453e-11,-1.6682688084301844e-06,9.286423974894647e-10
9840.0,73.49493079003878,73.49493079003878,0.0,286.30239001683236,14.958207224955473,14.345749456647699,2.7119894284644542e-11,-1.4068940856759582e-06,7.837916138153972e-10
9960.0,76.54596099192135,76.54596099192135,0.0,286.4685404829687,14.93402451744074,14.29614149676691,2.8634588232788652e-11,-1.4889381674265678e-06,8.308422185458154e-10
10080.0,64.23047225919802,64.23047225919802,0.0,286.6419270500677,14.782275432586074,14.247021485882206,3.457366303024386e-11,-1.345266156249636e-06,7.583779204497665e-10
10200.0,63.507658139491966,63.507658139491966,0.0,286.78761395763433,14.72074263752188,14.19151214188207,3.4367229118139916e-11,-1.3372852549764502e-06,7.570299994964405e-10
10320.0,62.76402022576452,62.76402022576452,0.0,286.93192941347274,14.656226918306448,14.1331934049043,3.495398657935413e-11,-1.3824931599515367e-06,7.860670005415499e-10
10440.0,60.084218641386656,60.084218641386656,0.0,287.07481716290073,14.584413110289184,14.083711276779898,2.6071344155014507e-11,-1.3797276494642574e-06,7.883574282526728e-10
10560.0,65.71151083996449,65.71151083996449,0.0,287.21184397842205,14.569697818738671,14.02210188414839,2.3848456516722614e-11,-1.3108693366348234e-06,7.497692316290767e-10
10680.0,73.00934432655995,73.00934432655995,0.0,287.36202684683786,14.579186882245615,13.97077566991664,3.109329783776627e-11,-1.1529171644042435e-06,6.589971796302384e-10
10800.0,69.3136078789905,69.3136078789905,0.0,287.52924287078685,14.512057637160092,13.934444224680464,2.6799528845763538e-11,-1.6185649371891486e-06,9.294368504094793e-10
