time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
1440.0,fixed-domain-moisture,650.0,-9.035678081483088e-06,9.035678081483088e-06,-9.03567807917156e-06,-2.311527502068568e-15,1.2193840515639637e-11
1560.0,fixed-domain-moisture,650.0,-8.804121273707203e-06,8.804121273707203e-06,-8.804121272374781e-06,-1.3324217895465881e-15,1.3562670156182529e-11
1680.0,fixed-domain-moisture,650.0,-8.603206016865258e-06,8.603206016865258e-06,-8.603206016330903e-06,-5.343558169730589e-16,3.4369507909139402e-12
1800.0,fixed-domain-moisture,650.0,-8.43654233688976e-06,8.43654233688976e-06,-8.436542336786933e-06,-1.0282641166488304e-16,4.457241818078461e-12
1920.0,fixed-domain-moisture,650.0,-8.285585414211705e-06,8.285585414211705e-06,-8.285585414677764e-06,4.660595504359447e-16,3.766869990725717e-12
2040.0,fixed-domain-moisture,650.0,-8.158302836000777e-06,8.158302836000777e-06,-8.158302837144034e-06,1.1432573095680743e-15,4.422052611708937e-12
2160.0,fixed-domain-moisture,650.0,-8.04295127138319e-06,8.04295127138319e-06,-8.042951273317933e-06,1.934743530207332e-15,4.530492165614258e-12
2280.0,fixed-domain-moisture,650.0,-7.943550239557427e-06,7.943550239557427e-06,-7.943550241879544e-06,2.3221171079751413e-15,5.453486124057832e-12
2400.0,fixed-domain-moisture,650.0,-7.860050409157298e-06,7.860050409157298e-06,-7.860050411796803e-06,2.639505435509011e-15,6.4197716597169266e-12
2520.0,fixed-domain-moisture,650.0,-7.786285784211228e-06,7.786285784211228e-06,-7.78628578695207e-06,2.7408410691867266e-15,7.487133460590695e-12
2640.0,fixed-domain-moisture,650.0,-7.720603721685327e-06,7.720603721685327e-06,-7.720603724428323e-06,2.7429959210045415e-15,8.319338265872544e-12
2760.0,fixed-domain-moisture,650.0,-7.657544766568195e-06,7.657544766568195e-06,-7.657544769386644e-06,2.8184496159459546e-15,8.170549980500468e-12
2880.0,fixed-domain-moisture,650.0,-7.605129365544199e-06,7.605129365544199e-06,-7.6051293675585815e-06,2.0143824149411287e-15,9.646673752149192e-12
3000.0,fixed-domain-moisture,650.0,-7.551804400640187e-06,7.551804400640187e-06,-7.55180440301881e-06,2.378623522919423e-15,9.115403428681563e-12
3120.0,fixed-domain-moisture,650.0,-7.509375572164697e-06,7.509375572164697e-06,-7.509375572992289e-06,8.275926940818669e-16,1.153302423123788e-11
3240.0,fixed-domain-moisture,650.0,-7.466014550553347e-06,7.466014550553347e-06,-7.466014551753528e-06,1.2001813117553523e-15,1.1432042853543632e-11
3360.0,fixed-domain-moisture,650.0,-7.425856174805996e-06,7.425856174805996e-06,-7.425856176030939e-06,1.2249434729353845e-15,1.1236433172915207e-11
3480.0,fixed-domain-moisture,650.0,-7.386271127335264e-06,7.386271127335264e-06,-7.386271128468443e-06,1.1331793115616426e-15,1.1271147109487628e-11
3600.0,fixed-domain-moisture,650.0,-7.3552707464659826e-06,7.3552707464659826e-06,-7.355270746024349e-06,-4.416336613359724e-16,1.4277266943213284e-11
3720.0,fixed-domain-moisture,650.0,-7.321026524503409e-06,7.321026524503409e-06,-7.321026525008205e-06,5.047952141468311e-16,1.3610046951934061e-11
3840.0,fixed-domain-moisture,650.0,-7.290140021434815e-06,7.290140021434815e-06,-7.290140021478868e-06,4.405248952080165e-17,1.4322384755391725e-11
3960.0,fixed-domain-moisture,650.0,-7.258846472534104e-06,7.258846472534104e-06,-7.258846472826386e-06,2.922822709772524e-16,1.4364739398202233e-11
4080.0,fixed-domain-moisture,650.0,-7.226200620700949e-06,7.226200620700949e-06,-7.226200622522332e-06,1.8213825697774473e-15,1.3014065305814648e-11
4200.0,fixed-domain-moisture,650.0,-7.195134597983894e-06,7.195134597983894e-06,-7.195134597709154e-06,-2.7474021863961584e-16,1.5199672346807454e-11
4320.0,fixed-domain-moisture,650.0,-7.170749434071182e-06,7.170749434071182e-06,-7.170749432767154e-06,-1.3040283981216767e-15,5.125130621365021e-12
4440.0,fixed-domain-moisture,650.0,-7.138647077287179e-06,7.138647077287179e-06,-7.138647079953711e-06,2.666531715757054e-15,1.4061221948676078e-11
4560.0,fixed-domain-moisture,650.0,-7.109562673455851e-06,7.109562673455851e-06,-7.1095626730281944e-06,-4.276567706733292e-16,1.6682926199950686e-11
4680.0,fixed-domain-moisture,650.0,-7.082956222108154e-06,7.082956222108154e-06,-7.082956221245526e-06,-8.626276708461993e-16,4.627561718583677e-12
4800.0,fixed-domain-moisture,650.0,-7.058872444202556e-06,7.058872444202556e-06,-7.058872443519759e-06,-6.827966469134805e-16,4.7025647511543916e-12
4920.0,fixed-domain-moisture,650.0,-7.033759642813858e-06,7.033759642813858e-06,-7.033759642050101e-06,-7.637569030449938e-16,4.971627001657609e-12
5040.0,fixed-domain-moisture,650.0,-7.002030253026341e-06,7.002030253026341e-06,-7.002030257004695e-06,3.978354511059365e-15,1.5557682559945345e-11
5160.0,fixed-domain-moisture,650.0,-6.978366934289327e-06,6.978366934289327e-06,-6.978366932880747e-06,-1.4085793688671695e-15,5.7964340454943465e-12
5280.0,fixed-domain-moisture,650.0,-6.9495782203060064e-06,6.9495782203060064e-06,-6.949578223742341e-06,3.436334739979549e-15,1.696966680523668e-11
5400.0,fixed-domain-moisture,650.0,-6.9213991516548915e-06,6.9213991516548915e-06,-6.921399153425544e-06,1.77065291953344e-15,1.796855955971988e-11
5520.0,fixed-domain-moisture,650.0,-6.893494645323691e-06,6.893494645323691e-06,-6.893494644707184e-06,-6.165070014284117e-16,6.0789227179453256e-12
5640.0,fixed-domain-moisture,650.0,-6.867069102257326e-06,6.867069102257326e-06,-6.867069104611947e-06,2.3546211502930778e-15,1.908541222919326e-11
5760.0,fixed-domain-moisture,650.0,-6.840181582912612e-06,6.840181582912612e-06,-6.840181583033381e-06,1.2076826355362363e-16,6.155704265624792e-12
5880.0,fixed-domain-moisture,650.0,-6.811189998193978e-06,6.811189998193978e-06,-6.811190001542675e-06,3.34869732312483e-15,1.906828361056987e-11
6000.0,fixed-domain-moisture,650.0,-6.789058465338663e-06,6.789058465338663e-06,-6.789058463881841e-06,-1.4568221303780382e-15,8.012037758978e-12
6120.0,fixed-domain-moisture,650.0,-6.761871730797686e-06,6.761871730797686e-06,-6.761871736233672e-06,5.435986404934978e-15,1.9493271860088022e-11
